X: (),Y: (Hits)
-2.34068e-08,0
-2.32869e-08,0
-2.3167e-08,0
-2.3047e-08,0
-2.29271e-08,0
-2.28071e-08,0
-2.26872e-08,0
-2.25673e-08,0
-2.24473e-08,0
-2.23274e-08,0
-2.22074e-08,0
-2.20875e-08,0
-2.19676e-08,0
-2.18476e-08,0
-2.17277e-08,0
-2.16077e-08,0
-2.14878e-08,0
-2.13678e-08,0
-2.12479e-08,0
-2.1128e-08,0
-2.1008e-08,0
-2.08881e-08,0
-2.07681e-08,0
-2.06482e-08,0
-2.05283e-08,0
-2.04083e-08,0
-2.02884e-08,0
-2.01684e-08,0
-2.00485e-08,0
-1.99286e-08,0
-1.98086e-08,0
-1.96887e-08,0
-1.95687e-08,0
-1.94488e-08,0
-1.93288e-08,0
-1.92089e-08,0
-1.9089e-08,0
-1.8969e-08,0
-1.88491e-08,0
-1.87291e-08,0
-1.86092e-08,0
-1.84893e-08,0
-1.83693e-08,0
-1.82494e-08,0
-1.81294e-08,0
-1.80095e-08,0
-1.78896e-08,0
-1.77696e-08,0
-1.76497e-08,0
-1.75297e-08,1
-1.74098e-08,0
-1.72898e-08,0
-1.71699e-08,0
-1.705e-08,0
-1.693e-08,0
-1.68101e-08,0
-1.66901e-08,0
-1.65702e-08,0
-1.64503e-08,1
-1.63303e-08,1
-1.62104e-08,0
-1.60904e-08,0
-1.59705e-08,0
-1.58506e-08,0
-1.57306e-08,0
-1.56107e-08,0
-1.54907e-08,0
-1.53708e-08,0
-1.52508e-08,0
-1.51309e-08,0
-1.5011e-08,1
-1.4891e-08,1
-1.47711e-08,0
-1.46511e-08,0
-1.45312e-08,0
-1.44113e-08,0
-1.42913e-08,0
-1.41714e-08,1
-1.40514e-08,0
-1.39315e-08,0
-1.38116e-08,0
-1.36916e-08,0
-1.35717e-08,0
-1.34517e-08,1
-1.33318e-08,0
-1.32118e-08,0
-1.30919e-08,0
-1.2972e-08,0
-1.2852e-08,0
-1.27321e-08,1
-1.26121e-08,0
-1.24922e-08,1
-1.23723e-08,0
-1.22523e-08,0
-1.21324e-08,0
-1.20124e-08,1
-1.18925e-08,0
-1.17726e-08,0
-1.16526e-08,0
-1.15327e-08,0
-1.14127e-08,0
-1.12928e-08,0
-1.11728e-08,0
-1.10529e-08,0
-1.0933e-08,0
-1.0813e-08,0
-1.06931e-08,0
-1.05731e-08,1
-1.04532e-08,0
