X: (),Y: (Hits)
-6.09152e-09,0
-5.96565e-09,0
-5.83977e-09,0
-5.71389e-09,1
-5.58801e-09,0
-5.46214e-09,1
-5.33626e-09,0
-5.21038e-09,0
-5.08451e-09,0
-4.95863e-09,0
-4.83275e-09,1
-4.70688e-09,0
-4.581e-09,0
-4.45512e-09,0
-4.32925e-09,0
-4.20337e-09,0
-4.07749e-09,0
-3.95161e-09,2
-3.82574e-09,0
-3.69986e-09,0
-3.57398e-09,0
-3.44811e-09,0
-3.32223e-09,0
-3.19635e-09,1
-3.07048e-09,0
-2.9446e-09,0
-2.81872e-09,0
-2.69285e-09,2
-2.56697e-09,0
-2.44109e-09,0
-2.31521e-09,1
-2.18934e-09,1
-2.06346e-09,1
-1.93758e-09,2
-1.81171e-09,2
-1.68583e-09,0
-1.55995e-09,5
-1.43408e-09,4
-1.3082e-09,5
-1.18232e-09,9
-1.05645e-09,2
-9.30568e-10,3
-8.04691e-10,3
-6.78814e-10,5
-5.52938e-10,14
-4.27061e-10,9
-3.01184e-10,12
-1.75307e-10,7
-4.94299e-11,9
7.64471e-11,10
2.02324e-10,13
3.28201e-10,14
4.54078e-10,7
5.79955e-10,12
7.05832e-10,13
8.31709e-10,19
9.57585e-10,17
1.08346e-09,24
1.20934e-09,33
1.33522e-09,21
1.46109e-09,24
1.58697e-09,29
1.71285e-09,38
1.83872e-09,29
1.9646e-09,21
2.09048e-09,25
2.21635e-09,30
2.34223e-09,22
2.46811e-09,23
2.59399e-09,39
2.71986e-09,28
2.84574e-09,38
2.97162e-09,43
3.09749e-09,36
3.22337e-09,44
3.34925e-09,47
3.47512e-09,47
3.601e-09,46
3.72688e-09,40
3.85275e-09,41
3.97863e-09,40
4.10451e-09,30
4.23039e-09,47
4.35626e-09,41
4.48214e-09,36
4.60802e-09,45
4.73389e-09,45
4.85977e-09,49
4.98565e-09,54
5.11152e-09,59
5.2374e-09,52
5.36328e-09,50
5.48915e-09,42
5.61503e-09,37
5.74091e-09,41
5.86679e-09,36
5.99266e-09,33
6.11854e-09,32
6.24442e-09,29
6.37029e-09,40
6.49617e-09,41
6.62205e-09,37
6.74792e-09,49
6.8738e-09,41
6.99968e-09,48
7.12555e-09,38
7.25143e-09,43
7.37731e-09,39
7.50319e-09,43
7.62906e-09,37
7.75494e-09,39
7.88082e-09,32
8.00669e-09,28
8.13257e-09,30
8.25845e-09,27
8.38432e-09,40
8.5102e-09,37
8.63608e-09,30
8.76195e-09,39
8.88783e-09,39
9.01371e-09,40
9.13959e-09,19
9.26546e-09,30
9.39134e-09,17
9.51722e-09,27
9.64309e-09,32
9.76897e-09,22
9.89485e-09,15
1.00207e-08,28
1.01466e-08,26
1.02725e-08,29
1.03984e-08,35
1.05242e-08,28
1.06501e-08,16
1.0776e-08,14
1.09019e-08,12
1.10277e-08,24
1.11536e-08,13
1.12795e-08,20
1.14054e-08,14
1.15312e-08,19
1.16571e-08,14
1.1783e-08,11
1.19089e-08,11
1.20348e-08,15
1.21606e-08,17
1.22865e-08,23
1.24124e-08,18
1.25383e-08,14
1.26641e-08,9
1.279e-08,15
1.29159e-08,11
1.30418e-08,4
1.31676e-08,7
1.32935e-08,11
1.34194e-08,16
1.35453e-08,6
1.36712e-08,7
1.3797e-08,6
1.39229e-08,13
1.40488e-08,4
1.41747e-08,4
1.43005e-08,15
1.44264e-08,6
1.45523e-08,8
1.46782e-08,4
1.4804e-08,10
1.49299e-08,7
1.50558e-08,10
1.51817e-08,2
1.53076e-08,3
1.54334e-08,9
1.55593e-08,3
1.56852e-08,3
1.58111e-08,9
1.59369e-08,4
1.60628e-08,5
1.61887e-08,2
1.63146e-08,3
1.64404e-08,4
1.65663e-08,5
1.66922e-08,6
1.68181e-08,3
1.6944e-08,3
1.70698e-08,2
1.71957e-08,2
1.73216e-08,4
1.74475e-08,2
1.75733e-08,1
1.76992e-08,2
1.78251e-08,0
1.7951e-08,2
1.80768e-08,1
1.82027e-08,0
1.83286e-08,3
1.84545e-08,0
1.85804e-08,0
1.87062e-08,2
1.88321e-08,0
1.8958e-08,0
1.90839e-08,0
1.92097e-08,0
1.93356e-08,3
1.94615e-08,0
1.95874e-08,0
1.97132e-08,1
1.98391e-08,0
1.9965e-08,1
2.00909e-08,1
2.02168e-08,1
2.03426e-08,0
2.04685e-08,1
2.05944e-08,1
2.07203e-08,0
2.08461e-08,0
2.0972e-08,0
2.10979e-08,3
2.12238e-08,1
2.13496e-08,0
2.14755e-08,0
2.16014e-08,0
2.17273e-08,0
2.18532e-08,0
2.1979e-08,1
2.21049e-08,0
2.22308e-08,2
2.23567e-08,2
2.24825e-08,1
2.26084e-08,0
2.27343e-08,0
2.28602e-08,0
2.2986e-08,0
2.31119e-08,1
2.32378e-08,0
2.33637e-08,1
2.34896e-08,0
2.36154e-08,0
2.37413e-08,1
2.38672e-08,0
2.39931e-08,0
2.41189e-08,0
2.42448e-08,0
2.43707e-08,0
2.44966e-08,0
2.46224e-08,0
2.47483e-08,0
2.48742e-08,0
2.50001e-08,0
2.5126e-08,0
2.52518e-08,0
