X: (),Y: (Hits)
0.000240876,0
0.00024231,0
0.000243745,0
0.000245179,0
0.000246613,0
0.000248048,0
0.000249482,0
0.000250916,0
0.000252351,0
0.000253785,0
0.000255219,0
0.000256654,1
0.000258088,0
0.000259522,0
0.000260957,1
0.000262391,0
0.000263825,0
0.00026526,0
0.000266694,1
0.000268128,0
0.000269563,1
0.000270997,1
0.000272431,0
0.000273866,2
0.0002753,1
0.000276734,0
0.000278169,0
0.000279603,0
0.000281037,1
0.000282472,1
0.000283906,2
0.000285341,0
0.000286775,1
0.000288209,5
0.000289644,3
0.000291078,4
0.000292512,5
0.000293947,3
0.000295381,4
0.000296815,5
0.00029825,2
0.000299684,3
0.000301118,3
0.000302553,5
0.000303987,8
0.000305421,6
0.000306856,8
0.00030829,8
0.000309724,4
0.000311159,8
0.000312593,4
0.000314027,11
0.000315462,7
0.000316896,11
0.00031833,11
0.000319765,11
0.000321199,13
0.000322633,13
0.000324068,16
0.000325502,8
0.000326937,17
0.000328371,9
0.000329805,18
0.00033124,10
0.000332674,22
0.000334108,12
0.000335543,28
0.000336977,17
0.000338411,23
0.000339846,26
0.00034128,15
0.000342714,17
0.000344149,14
0.000345583,21
0.000347017,19
0.000348452,18
0.000349886,17
0.00035132,24
0.000352755,19
0.000354189,27
0.000355623,36
0.000357058,27
0.000358492,24
0.000359926,18
0.000361361,24
0.000362795,28
0.000364229,19
0.000365664,25
0.000367098,25
0.000368533,28
0.000369967,35
0.000371401,25
0.000372836,28
0.00037427,34
0.000375704,24
0.000377139,31
0.000378573,27
0.000380007,32
0.000381442,31
0.000382876,31
0.00038431,33
0.000385745,46
0.000387179,25
0.000388613,39
0.000390048,39
0.000391482,38
0.000392916,31
0.000394351,33
0.000395785,29
0.000397219,34
0.000398654,29
0.000400088,39
0.000401522,35
0.000402957,38
0.000404391,31
0.000405825,25
0.00040726,42
0.000408694,35
0.000410129,30
0.000411563,38
0.000412997,31
0.000414432,19
0.000415866,26
0.0004173,38
0.000418735,30
0.000420169,33
0.000421603,29
0.000423038,36
0.000424472,31
0.000425906,20
0.000427341,29
0.000428775,31
0.000430209,32
0.000431644,22
0.000433078,31
0.000434512,36
0.000435947,33
0.000437381,26
0.000438815,31
0.00044025,18
0.000441684,29
0.000443118,19
0.000444553,20
0.000445987,28
0.000447421,19
0.000448856,20
0.00045029,23
0.000451725,15
0.000453159,19
0.000454593,22
0.000456028,19
0.000457462,12
0.000458896,16
0.000460331,13
0.000461765,13
0.000463199,12
0.000464634,15
0.000466068,20
0.000467502,18
0.000468937,9
0.000470371,11
0.000471805,17
0.00047324,9
0.000474674,5
0.000476108,13
0.000477543,8
0.000478977,11
0.000480411,8
0.000481846,4
0.00048328,8
0.000484714,9
0.000486149,7
0.000487583,6
0.000489017,9
0.000490452,5
0.000491886,5
0.000493321,9
0.000494755,5
0.000496189,10
0.000497624,3
0.000499058,5
0.000500492,3
0.000501927,3
0.000503361,1
0.000504795,4
0.00050623,3
0.000507664,5
0.000509098,3
0.000510533,2
0.000511967,1
0.000513401,4
0.000514836,3
0.00051627,2
0.000517704,1
0.000519139,1
0.000520573,1
0.000522007,1
0.000523442,2
0.000524876,2
0.00052631,0
0.000527745,3
0.000529179,1
0.000530613,0
0.000532048,2
0.000533482,0
0.000534917,0
0.000536351,0
0.000537785,1
0.00053922,1
0.000540654,0
0.000542088,0
0.000543523,1
0.000544957,0
0.000546391,0
0.000547826,0
0.00054926,0
0.000550694,0
0.000552129,0
0.000553563,1
0.000554997,1
0.000556432,0
0.000557866,0
0.0005593,0
0.000560735,0
0.000562169,0
0.000563603,0
0.000565038,1
0.000566472,0
0.000567906,0
0.000569341,0
0.000570775,1
0.000572209,1
0.000573644,0
0.000575078,1
0.000576513,0
0.000577947,0
0.000579381,0
0.000580816,1
0.00058225,0
0.000583684,0
0.000585119,0
0.000586553,0
0.000587987,0
0.000589422,0
0.000590856,0
0.00059229,0
0.000593725,0
0.000595159,0
0.000596593,0
0.000598028,0
