X: (),Y: (Hits)
6.13113e-05,0
6.21271e-05,0
6.29428e-05,0
6.37586e-05,0
6.45743e-05,0
6.53901e-05,0
6.62058e-05,0
6.70216e-05,0
6.78373e-05,0
6.86531e-05,0
6.94688e-05,0
7.02846e-05,2
7.11003e-05,0
7.19161e-05,0
7.27318e-05,0
7.35476e-05,0
7.43633e-05,0
7.51791e-05,0
7.59948e-05,0
7.68106e-05,0
7.76263e-05,0
7.84421e-05,1
7.92578e-05,0
8.00736e-05,5
8.08893e-05,1
8.17051e-05,0
8.25208e-05,0
8.33366e-05,0
8.41523e-05,1
8.49681e-05,1
8.57838e-05,4
8.65996e-05,1
8.74153e-05,2
8.82311e-05,1
8.90468e-05,4
8.98626e-05,6
9.06783e-05,4
9.14941e-05,2
9.23098e-05,4
9.31256e-05,5
9.39413e-05,6
9.4757e-05,10
9.55728e-05,3
9.63885e-05,8
9.72043e-05,4
9.802e-05,4
9.88358e-05,4
9.96515e-05,5
0.000100467,12
0.000101283,10
0.000102099,11
0.000102915,12
0.00010373,11
0.000104546,10
0.000105362,14
0.000106178,15
0.000106993,13
0.000107809,8
0.000108625,13
0.000109441,15
0.000110256,15
0.000111072,13
0.000111888,16
0.000112704,10
0.000113519,13
0.000114335,12
0.000115151,13
0.000115967,15
0.000116782,13
0.000117598,20
0.000118414,13
0.00011923,20
0.000120045,15
0.000120861,14
0.000121677,22
0.000122493,11
0.000123308,12
0.000124124,17
0.00012494,16
0.000125756,5
0.000126571,14
0.000127387,13
0.000128203,13
0.000129019,17
0.000129834,18
0.00013065,14
0.000131466,12
0.000132281,11
0.000133097,16
0.000133913,14
0.000134729,9
0.000135544,10
0.00013636,7
0.000137176,15
0.000137992,15
0.000138807,6
0.000139623,6
0.000140439,10
0.000141255,11
0.00014207,10
0.000142886,4
0.000143702,10
0.000144518,7
0.000145333,9
0.000146149,3
0.000146965,8
0.000147781,7
0.000148596,5
0.000149412,6
0.000150228,5
0.000151044,7
0.000151859,2
0.000152675,7
0.000153491,1
0.000154307,6
0.000155122,5
0.000155938,5
0.000156754,7
0.00015757,4
0.000158385,2
0.000159201,1
0.000160017,3
0.000160833,2
0.000161648,2
0.000162464,1
0.00016328,2
0.000164096,5
0.000164911,1
0.000165727,2
0.000166543,1
0.000167359,0
0.000168174,1
0.00016899,2
0.000169806,3
0.000170622,0
0.000171437,2
0.000172253,0
0.000173069,1
0.000173885,0
0.0001747,0
0.000175516,1
0.000176332,3
0.000177148,1
0.000177963,0
0.000178779,1
0.000179595,0
0.000180411,0
0.000181226,1
0.000182042,0
0.000182858,0
0.000183674,0
0.000184489,0
0.000185305,0
0.000186121,1
0.000186937,0
0.000187752,1
0.000188568,2
0.000189384,2
0.0001902,1
0.000191015,0
0.000191831,1
0.000192647,0
0.000193463,0
0.000194278,0
0.000195094,0
0.00019591,0
0.000196726,0
0.000197541,0
0.000198357,1
0.000199173,0
0.000199989,0
0.000200804,0
0.00020162,1
0.000202436,0
0.000203252,0
0.000204067,1
0.000204883,1
0.000205699,0
0.000206515,0
0.00020733,0
0.000208146,0
0.000208962,1
0.000209778,0
0.000210593,1
0.000211409,0
0.000212225,0
0.000213041,0
0.000213856,1
0.000214672,0
0.000215488,0
0.000216304,0
0.000217119,0
0.000217935,0
0.000218751,0
0.000219567,0
0.000220382,0
0.000221198,0
0.000222014,0
0.00022283,0
0.000223645,0
0.000224461,0
0.000225277,1
0.000226093,0
0.000226908,0
0.000227724,0
0.00022854,0
0.000229356,0
0.000230171,0
0.000230987,0
0.000231803,0
0.000232619,1
0.000233434,0
0.00023425,0
0.000235066,0
0.000235882,0
0.000236697,0
0.000237513,0
0.000238329,0
0.000239145,0
0.00023996,0
0.000240776,0
0.000241592,0
0.000242408,0
0.000243223,0
0.000244039,0
0.000244855,0
0.000245671,0
0.000246486,0
0.000247302,0
0.000248118,0
0.000248934,0
0.000249749,0
0.000250565,0
0.000251381,0
0.000252197,0
0.000253012,0
0.000253828,0
0.000254644,0
0.00025546,0
0.000256275,0
0.000257091,0
0.000257907,0
0.000258723,0
0.000259538,0
0.000260354,1
0.00026117,0
0.000261986,0
0.000262801,0
0.000263617,0
0.000264433,0
