X: (),Y: (Hits)
-0.00141103,0
-0.00111674,0
-0.000822445,0
-0.000528152,0
-0.00023386,0
6.04316e-05,0
0.000354724,0
0.000649016,0
0.000943308,0
0.0012376,21
0.00153189,69
0.00182618,46
0.00212048,43
0.00241477,37
0.00270906,23
0.00300335,27
0.00329764,24
0.00359194,17
0.00388623,19
0.00418052,27
0.00447481,20
0.0047691,15
0.0050634,13
0.00535769,13
0.00565198,14
0.00594627,17
0.00624056,16
0.00653486,13
0.00682915,13
0.00712344,19
0.00741773,25
0.00771202,15
0.00800632,17
0.00830061,17
0.0085949,14
0.00888919,12
0.00918349,11
0.00947778,11
0.00977207,6
0.0100664,13
0.0103607,16
0.0106549,14
0.0109492,8
0.0112435,11
0.0115378,10
0.0118321,19
0.0121264,18
0.0124207,12
0.012715,9
0.0130093,8
0.0133036,10
0.0135979,10
0.0138922,7
0.0141865,4
0.0144807,3
0.014775,1
0.0150693,6
0.0153636,8
0.0156579,10
0.0159522,7
0.0162465,6
0.0165408,6
0.0168351,6
0.0171294,5
0.0174237,7
0.017718,5
0.0180122,3
0.0183065,5
0.0186008,8
0.0188951,4
0.0191894,2
0.0194837,2
0.019778,5
0.0200723,8
0.0203666,4
0.0206609,7
0.0209552,2
0.0212495,1
0.0215438,3
0.021838,4
0.0221323,3
0.0224266,3
0.0227209,1
0.0230152,2
0.0233095,3
0.0236038,2
0.0238981,2
0.0241924,3
0.0244867,0
0.024781,3
0.0250753,1
0.0253695,0
0.0256638,1
0.0259581,2
0.0262524,3
0.0265467,1
0.026841,3
0.0271353,0
0.0274296,1
0.0277239,0
0.0280182,0
0.0283125,1
0.0286068,1
0.0289011,4
0.0291953,0
0.0294896,1
0.0297839,1
0.0300782,0
0.0303725,0
0.0306668,1
0.0309611,0
0.0312554,3
0.0315497,0
0.031844,0
0.0321383,2
0.0324326,1
0.0327268,0
0.0330211,1
0.0333154,1
0.0336097,0
0.033904,1
0.0341983,0
0.0344926,1
0.0347869,0
0.0350812,1
0.0353755,0
0.0356698,0
0.0359641,0
0.0362584,0
0.0365526,0
0.0368469,0
0.0371412,0
0.0374355,0
0.0377298,0
0.0380241,0
0.0383184,1
0.0386127,0
0.038907,0
0.0392013,0
0.0394956,0
0.0397899,0
0.0400842,0
0.0403784,0
0.0406727,1
0.040967,0
0.0412613,0
0.0415556,0
0.0418499,0
0.0421442,0
0.0424385,0
0.0427328,0
0.0430271,0
0.0433214,0
0.0436157,0
0.0439099,0
0.0442042,0
0.0444985,0
0.0447928,1
0.0450871,0
0.0453814,0
0.0456757,0
0.04597,0
0.0462643,0
0.0465586,0
0.0468529,0
0.0471472,0
0.0474415,0
0.0477357,1
0.04803,0
0.0483243,0
0.0486186,0
0.0489129,0
0.0492072,0
0.0495015,0
0.0497958,0
0.0500901,0
0.0503844,0
0.0506787,0
0.050973,0
0.0512672,0
0.0515615,0
0.0518558,0
0.0521501,0
0.0524444,0
0.0527387,0
0.053033,0
0.0533273,0
0.0536216,0
0.0539159,0
0.0542102,0
0.0545045,0
0.0547988,0
0.055093,0
0.0553873,0
0.0556816,0
0.0559759,0
0.0562702,0
0.0565645,0
0.0568588,0
0.0571531,0
0.0574474,0
0.0577417,0
0.058036,0
0.0583303,0
0.0586246,0
0.0589188,0
0.0592131,0
0.0595074,0
0.0598017,0
0.060096,0
0.0603903,0
0.0606846,0
0.0609789,0
0.0612732,0
0.0615675,0
0.0618618,0
0.0621561,0
0.0624503,0
0.0627446,0
0.0630389,0
0.0633332,0
0.0636275,0
0.0639218,0
0.0642161,0
0.0645104,0
0.0648047,0
0.065099,0
0.0653933,0
0.0656876,0
0.0659819,0
0.0662761,0
0.0665704,0
0.0668647,1
0.067159,0
0.0674533,0
0.0677476,0
0.0680419,0
0.0683362,0
0.0686305,0
0.0689248,0
0.0692191,0
0.0695134,0
0.0698076,0
0.0701019,0
0.0703962,0
0.0706905,0
0.0709848,0
0.0712791,0
0.0715734,0
0.0718677,0
