X: (),Y: (Hits)
0.000131116,0
0.000137712,0
0.000144307,0
0.000150903,0
0.000157499,0
0.000164094,0
0.00017069,0
0.000177286,0
0.000183882,0
0.000190477,0
0.000197073,0
0.000203669,0
0.000210264,0
0.00021686,0
0.000223456,0
0.000230052,0
0.000236647,1
0.000243243,1
0.000249839,0
0.000256434,0
0.00026303,1
0.000269626,0
0.000276222,6
0.000282817,4
0.000289413,8
0.000296009,8
0.000302604,11
0.0003092,20
0.000315796,19
0.000322392,14
0.000328987,23
0.000335583,15
0.000342179,36
0.000348774,36
0.00035537,25
0.000361966,47
0.000368562,41
0.000375157,42
0.000381753,48
0.000388349,53
0.000394944,34
0.00040154,47
0.000408136,36
0.000414732,48
0.000421327,40
0.000427923,41
0.000434519,36
0.000441114,30
0.00044771,32
0.000454306,27
0.000460902,22
0.000467497,14
0.000474093,22
0.000480689,12
0.000487284,7
0.00049388,11
0.000500476,7
0.000507072,10
0.000513667,4
0.000520263,7
0.000526859,6
0.000533454,2
0.00054005,3
0.000546646,0
0.000553242,2
0.000559837,2
0.000566433,6
0.000573029,2
0.000579624,2
0.00058622,2
0.000592816,2
0.000599412,2
0.000606007,1
0.000612603,1
0.000619199,1
0.000625794,1
0.00063239,2
0.000638986,1
0.000645582,0
0.000652177,0
0.000658773,0
0.000665369,1
0.000671964,0
0.00067856,1
0.000685156,1
0.000691752,0
0.000698347,2
0.000704943,0
0.000711539,0
0.000718134,0
0.00072473,0
0.000731326,0
0.000737922,0
0.000744517,1
0.000751113,1
0.000757709,0
0.000764304,0
0.0007709,0
0.000777496,1
0.000784092,0
0.000790687,0
0.000797283,0
0.000803879,0
0.000810474,0
0.00081707,0
0.000823666,0
0.000830262,0
0.000836857,0
0.000843453,0
0.000850049,0
0.000856644,0
0.00086324,0
0.000869836,0
0.000876432,0
0.000883027,0
0.000889623,0
0.000896219,0
0.000902814,0
0.00090941,0
0.000916006,0
0.000922602,0
0.000929197,0
0.000935793,0
0.000942389,0
0.000948984,0
0.00095558,0
0.000962176,0
0.000968772,0
0.000975367,0
0.000981963,0
0.000988559,0
0.000995154,0
0.00100175,0
0.00100835,0
0.00101494,0
0.00102154,0
0.00102813,0
0.00103473,0
0.00104132,0
0.00104792,0
0.00105452,0
0.00106111,0
0.00106771,0
0.0010743,0
0.0010809,0
0.00108749,0
0.00109409,0
0.00110069,0
0.00110728,0
0.00111388,0
0.00112047,0
0.00112707,0
0.00113366,0
0.00114026,0
0.00114686,0
0.00115345,0
0.00116005,0
0.00116664,0
0.00117324,0
0.00117983,0
0.00118643,0
0.00119303,0
0.00119962,0
0.00120622,0
0.00121281,0
0.00121941,0
0.001226,0
0.0012326,0
0.0012392,0
0.00124579,0
0.00125239,0
0.00125898,0
0.00126558,0
0.00127217,0
0.00127877,0
0.00128537,1
0.00129196,0
0.00129856,0
0.00130515,0
0.00131175,0
0.00131834,0
0.00132494,0
0.00133154,0
0.00133813,0
0.00134473,0
0.00135132,0
0.00135792,0
0.00136451,0
0.00137111,0
0.00137771,0
0.0013843,0
0.0013909,0
0.00139749,0
0.00140409,0
0.00141068,0
0.00141728,0
0.00142388,0
0.00143047,0
0.00143707,0
0.00144366,0
0.00145026,0
0.00145685,0
0.00146345,0
0.00147005,0
0.00147664,0
0.00148324,0
0.00148983,0
0.00149643,0
0.00150302,0
0.00150962,0
0.00151622,0
0.00152281,0
0.00152941,0
0.001536,0
0.0015426,0
0.00154919,0
0.00155579,0
0.00156239,0
0.00156898,0
0.00157558,0
0.00158217,0
0.00158877,0
0.00159536,0
0.00160196,0
0.00160856,0
0.00161515,1
0.00162175,1
0.00162834,0
0.00163494,0
0.00164153,0
0.00164813,0
0.00165473,0
0.00166132,0
0.00166792,0
0.00167451,0
0.00168111,0
0.0016877,0
0.0016943,0
0.0017009,0
0.00170749,0
0.00171409,0
0.00172068,0
0.00172728,0
0.00173387,0
0.00174047,0
0.00174707,0
0.00175366,0
0.00176026,0
0.00176685,0
0.00177345,0
