X: (),Y: (Hits)
0.00025046,0
0.000251869,0
0.000253278,0
0.000254687,0
0.000256096,1
0.000257505,1
0.000258914,1
0.000260323,0
0.000261731,1
0.00026314,0
0.000264549,1
0.000265958,1
0.000267367,0
0.000268776,1
0.000270185,1
0.000271594,1
0.000273003,2
0.000274412,2
0.000275821,2
0.000277229,1
0.000278638,2
0.000280047,0
0.000281456,2
0.000282865,0
0.000284274,1
0.000285683,2
0.000287092,1
0.000288501,2
0.00028991,2
0.000291318,3
0.000292727,2
0.000294136,1
0.000295545,2
0.000296954,3
0.000298363,3
0.000299772,1
0.000301181,4
0.00030259,1
0.000303999,3
0.000305408,2
0.000306816,1
0.000308225,2
0.000309634,2
0.000311043,2
0.000312452,2
0.000313861,2
0.00031527,7
0.000316679,6
0.000318088,7
0.000319497,2
0.000320906,4
0.000322314,4
0.000323723,4
0.000325132,6
0.000326541,5
0.00032795,4
0.000329359,0
0.000330768,1
0.000332177,5
0.000333586,3
0.000334995,5
0.000336404,3
0.000337812,6
0.000339221,3
0.00034063,3
0.000342039,10
0.000343448,8
0.000344857,6
0.000346266,8
0.000347675,5
0.000349084,4
0.000350493,9
0.000351901,11
0.00035331,5
0.000354719,8
0.000356128,9
0.000357537,8
0.000358946,9
0.000360355,8
0.000361764,6
0.000363173,5
0.000364582,4
0.000365991,6
0.000367399,7
0.000368808,8
0.000370217,6
0.000371626,11
0.000373035,14
0.000374444,13
0.000375853,14
0.000377262,10
0.000378671,7
0.00038008,6
0.000381489,10
0.000382897,9
0.000384306,12
0.000385715,11
0.000387124,15
0.000388533,7
0.000389942,13
0.000391351,14
0.00039276,11
0.000394169,15
0.000395578,14
0.000396986,12
0.000398395,13
0.000399804,10
0.000401213,11
0.000402622,10
0.000404031,10
0.00040544,6
0.000406849,13
0.000408258,11
0.000409667,6
0.000411076,11
0.000412484,11
0.000413893,8
0.000415302,9
0.000416711,13
0.00041812,12
0.000419529,5
0.000420938,7
0.000422347,11
0.000423756,10
0.000425165,9
0.000426574,7
0.000427982,9
0.000429391,7
0.0004308,10
0.000432209,6
0.000433618,4
0.000435027,7
0.000436436,8
0.000437845,9
0.000439254,7
0.000440663,8
0.000442072,2
0.00044348,8
0.000444889,5
0.000446298,5
0.000447707,10
0.000449116,7
0.000450525,2
0.000451934,4
0.000453343,6
0.000454752,7
0.000456161,9
0.000457569,5
0.000458978,4
0.000460387,3
0.000461796,7
0.000463205,3
0.000464614,5
0.000466023,8
0.000467432,3
0.000468841,5
0.00047025,2
0.000471659,2
0.000473067,5
0.000474476,10
0.000475885,7
0.000477294,5
0.000478703,2
0.000480112,5
0.000481521,2
0.00048293,2
0.000484339,5
0.000485748,4
0.000487157,4
0.000488565,4
0.000489974,5
0.000491383,3
0.000492792,0
0.000494201,5
0.00049561,3
0.000497019,6
0.000498428,3
0.000499837,3
0.000501246,4
0.000502655,1
0.000504063,2
0.000505472,2
0.000506881,1
0.00050829,2
0.000509699,1
0.000511108,1
0.000512517,2
0.000513926,0
0.000515335,4
0.000516744,2
0.000518152,0
0.000519561,1
0.00052097,2
0.000522379,1
0.000523788,0
0.000525197,0
0.000526606,0
0.000528015,2
0.000529424,1
0.000530833,1
0.000532242,1
0.00053365,1
0.000535059,3
0.000536468,0
0.000537877,1
0.000539286,0
0.000540695,1
0.000542104,0
0.000543513,0
0.000544922,0
0.000546331,0
0.00054774,0
0.000549148,0
0.000550557,1
0.000551966,0
0.000553375,1
0.000554784,0
0.000556193,1
0.000557602,0
0.000559011,0
0.00056042,1
0.000561829,0
0.000563237,1
0.000564646,0
0.000566055,0
0.000567464,0
0.000568873,1
0.000570282,0
0.000571691,0
0.0005731,0
0.000574509,0
0.000575918,0
0.000577327,1
0.000578735,1
0.000580144,0
0.000581553,0
0.000582962,0
0.000584371,0
0.00058578,1
0.000587189,0
0.000588598,0
0.000590007,0
0.000591416,0
0.000592825,0
0.000594233,0
0.000595642,0
0.000597051,0
0.00059846,0
0.000599869,1
0.000601278,0
