X: (),Y: (Hits)
5.5982e-05,0
5.66387e-05,0
5.72954e-05,0
5.79522e-05,0
5.86089e-05,0
5.92657e-05,0
5.99224e-05,0
6.05791e-05,0
6.12359e-05,0
6.18926e-05,0
6.25494e-05,0
6.32061e-05,0
6.38628e-05,0
6.45196e-05,1
6.51763e-05,0
6.5833e-05,0
6.64898e-05,0
6.71465e-05,0
6.78033e-05,0
6.846e-05,0
6.91167e-05,0
6.97735e-05,0
7.04302e-05,0
7.10869e-05,0
7.17437e-05,0
7.24004e-05,0
7.30572e-05,2
7.37139e-05,1
7.43706e-05,0
7.50274e-05,0
7.56841e-05,1
7.63409e-05,0
7.69976e-05,0
7.76543e-05,0
7.83111e-05,0
7.89678e-05,4
7.96245e-05,2
8.02813e-05,3
8.0938e-05,0
8.15948e-05,2
8.22515e-05,5
8.29082e-05,4
8.3565e-05,4
8.42217e-05,0
8.48785e-05,3
8.55352e-05,4
8.61919e-05,8
8.68487e-05,7
8.75054e-05,0
8.81621e-05,8
8.88189e-05,6
8.94756e-05,5
9.01324e-05,6
9.07891e-05,6
9.14458e-05,9
9.21026e-05,9
9.27593e-05,9
9.3416e-05,10
9.40728e-05,11
9.47295e-05,9
9.53863e-05,10
9.6043e-05,9
9.66997e-05,6
9.73565e-05,13
9.80132e-05,6
9.867e-05,13
9.93267e-05,9
9.99834e-05,13
0.00010064,8
0.000101297,14
0.000101954,13
0.00010261,15
0.000103267,10
0.000103924,12
0.000104581,15
0.000105237,20
0.000105894,17
0.000106551,12
0.000107208,14
0.000107864,13
0.000108521,6
0.000109178,14
0.000109835,12
0.000110491,16
0.000111148,19
0.000111805,18
0.000112461,14
0.000113118,15
0.000113775,15
0.000114432,19
0.000115088,19
0.000115745,17
0.000116402,14
0.000117059,8
0.000117715,12
0.000118372,12
0.000119029,14
0.000119686,15
0.000120342,16
0.000120999,14
0.000121656,15
0.000122313,10
0.000122969,17
0.000123626,19
0.000124283,13
0.000124939,13
0.000125596,9
0.000126253,10
0.00012691,10
0.000127566,16
0.000128223,19
0.00012888,17
0.000129537,6
0.000130193,10
0.00013085,5
0.000131507,10
0.000132164,11
0.00013282,6
0.000133477,9
0.000134134,15
0.000134791,7
0.000135447,9
0.000136104,11
0.000136761,12
0.000137418,10
0.000138074,8
0.000138731,8
0.000139388,8
0.000140044,7
0.000140701,5
0.000141358,8
0.000142015,5
0.000142671,4
0.000143328,4
0.000143985,8
0.000144642,3
0.000145298,7
0.000145955,5
0.000146612,4
0.000147269,3
0.000147925,7
0.000148582,2
0.000149239,0
0.000149896,3
0.000150552,4
0.000151209,7
0.000151866,2
0.000152522,6
0.000153179,3
0.000153836,2
0.000154493,3
0.000155149,6
0.000155806,0
0.000156463,0
0.00015712,3
0.000157776,1
0.000158433,1
0.00015909,3
0.000159747,1
0.000160403,1
0.00016106,1
0.000161717,1
0.000162374,3
0.00016303,0
0.000163687,2
0.000164344,2
0.000165001,3
0.000165657,0
0.000166314,1
0.000166971,0
0.000167627,0
0.000168284,1
0.000168941,1
0.000169598,0
0.000170254,2
0.000170911,0
0.000171568,1
0.000172225,0
0.000172881,1
0.000173538,2
0.000174195,0
0.000174852,2
0.000175508,1
0.000176165,0
0.000176822,1
0.000177479,0
0.000178135,1
0.000178792,0
0.000179449,0
0.000180105,1
0.000180762,0
0.000181419,2
0.000182076,0
0.000182732,0
0.000183389,0
0.000184046,0
0.000184703,1
0.000185359,0
0.000186016,0
0.000186673,0
0.00018733,0
0.000187986,0
0.000188643,0
0.0001893,0
0.000189957,0
0.000190613,0
0.00019127,1
0.000191927,0
0.000192584,0
0.00019324,0
0.000193897,1
0.000194554,0
0.00019521,0
0.000195867,0
0.000196524,0
0.000197181,0
0.000197837,0
0.000198494,0
0.000199151,0
0.000199808,0
0.000200464,0
0.000201121,0
0.000201778,0
0.000202435,0
0.000203091,0
0.000203748,0
0.000204405,0
0.000205062,0
0.000205718,0
0.000206375,0
0.000207032,0
0.000207688,0
0.000208345,0
0.000209002,0
0.000209659,0
0.000210315,0
0.000210972,1
0.000211629,0
0.000212286,0
0.000212942,0
0.000213599,0
0.000214256,0
0.000214913,0
0.000215569,0
0.000216226,0
0.000216883,0
0.00021754,0
0.000218196,0
0.000218853,0
0.00021951,0
