X: (),Y: (Hits)
0.0504495,0
0.0512445,0
0.0520396,0
0.0528347,0
0.0536297,0
0.0544248,1
0.0552199,0
0.0560149,0
0.05681,0
0.0576051,0
0.0584001,0
0.0591952,1
0.0599903,2
0.0607853,0
0.0615804,0
0.0623755,0
0.0631705,0
0.0639656,1
0.0647607,0
0.0655557,1
0.0663508,0
0.0671459,0
0.0679409,2
0.068736,1
0.069531,0
0.0703261,0
0.0711212,1
0.0719162,1
0.0727113,5
0.0735064,1
0.0743014,0
0.0750965,1
0.0758916,3
0.0766866,1
0.0774817,1
0.0782768,0
0.0790718,2
0.0798669,2
0.080662,3
0.081457,4
0.0822521,1
0.0830472,1
0.0838422,1
0.0846373,5
0.0854323,2
0.0862274,4
0.0870225,3
0.0878175,1
0.0886126,5
0.0894077,4
0.0902027,3
0.0909978,6
0.0917929,5
0.0925879,5
0.093383,6
0.0941781,9
0.0949731,9
0.0957682,4
0.0965633,12
0.0973583,6
0.0981534,6
0.0989485,11
0.0997435,10
0.100539,12
0.101334,5
0.102129,13
0.102924,12
0.103719,6
0.104514,10
0.105309,14
0.106104,7
0.106899,13
0.107694,10
0.108489,10
0.109284,14
0.110079,9
0.110874,5
0.111669,14
0.112465,8
0.11326,13
0.114055,16
0.11485,6
0.115645,20
0.11644,7
0.117235,12
0.11803,9
0.118825,11
0.11962,12
0.120415,10
0.12121,18
0.122005,11
0.1228,14
0.123595,10
0.124391,12
0.125186,15
0.125981,9
0.126776,12
0.127571,15
0.128366,9
0.129161,11
0.129956,20
0.130751,9
0.131546,11
0.132341,11
0.133136,18
0.133931,12
0.134726,18
0.135521,14
0.136317,15
0.137112,6
0.137907,5
0.138702,10
0.139497,7
0.140292,8
0.141087,9
0.141882,8
0.142677,12
0.143472,10
0.144267,6
0.145062,5
0.145857,9
0.146652,2
0.147447,6
0.148242,7
0.149038,6
0.149833,6
0.150628,12
0.151423,8
0.152218,3
0.153013,9
0.153808,7
0.154603,5
0.155398,6
0.156193,6
0.156988,6
0.157783,6
0.158578,3
0.159373,4
0.160168,2
0.160964,3
0.161759,6
0.162554,8
0.163349,7
0.164144,7
0.164939,5
0.165734,9
0.166529,8
0.167324,4
0.168119,6
0.168914,4
0.169709,6
0.170504,1
0.171299,3
0.172094,5
0.17289,2
0.173685,3
0.17448,1
0.175275,2
0.17607,4
0.176865,1
0.17766,2
0.178455,2
0.17925,0
0.180045,1
0.18084,0
0.181635,2
0.18243,2
0.183225,1
0.18402,2
0.184815,2
0.185611,0
0.186406,5
0.187201,3
0.187996,2
0.188791,5
0.189586,0
0.190381,1
0.191176,1
0.191971,3
0.192766,0
0.193561,3
0.194356,0
0.195151,1
0.195946,1
0.196741,1
0.197537,1
0.198332,0
0.199127,0
0.199922,2
0.200717,0
0.201512,3
0.202307,1
0.203102,1
0.203897,1
0.204692,2
0.205487,0
0.206282,1
0.207077,0
0.207872,0
0.208667,2
0.209463,1
0.210258,0
0.211053,1
0.211848,1
0.212643,0
0.213438,0
0.214233,1
0.215028,0
0.215823,1
0.216618,0
0.217413,0
0.218208,1
0.219003,0
0.219798,0
0.220593,0
0.221388,0
0.222184,1
0.222979,0
0.223774,0
0.224569,1
0.225364,0
0.226159,0
0.226954,0
0.227749,0
0.228544,1
0.229339,0
0.230134,0
0.230929,1
0.231724,0
0.232519,0
0.233314,0
0.23411,0
0.234905,0
0.2357,0
0.236495,0
0.23729,0
0.238085,1
0.23888,0
0.239675,0
0.24047,0
0.241265,0
0.24206,0
0.242855,0
0.24365,0
0.244445,0
0.24524,0
0.246035,0
0.246831,0
0.247626,0
0.248421,0
