X: (),Y: (Hits)
0.000977078,0
0.00126305,5
0.00154902,12
0.00183499,41
0.00212096,62
0.00240693,84
0.00269289,49
0.00297886,56
0.00326483,40
0.0035508,34
0.00383677,22
0.00412274,20
0.00440871,23
0.00469468,20
0.00498065,17
0.00526662,17
0.00555259,17
0.00583856,20
0.00612453,16
0.0064105,17
0.00669646,12
0.00698243,12
0.0072684,14
0.00755437,11
0.00784034,14
0.00812631,6
0.00841228,12
0.00869825,8
0.00898422,10
0.00927019,11
0.00955616,10
0.00984213,7
0.0101281,12
0.0104141,9
0.0107,12
0.010986,8
0.011272,3
0.0115579,6
0.0118439,8
0.0121299,5
0.0124159,8
0.0127018,3
0.0129878,4
0.0132738,14
0.0135597,8
0.0138457,9
0.0141317,2
0.0144176,1
0.0147036,3
0.0149896,7
0.0152755,5
0.0155615,4
0.0158475,4
0.0161335,4
0.0164194,6
0.0167054,5
0.0169914,7
0.0172773,5
0.0175633,3
0.0178493,4
0.0181352,1
0.0184212,2
0.0187072,2
0.0189931,3
0.0192791,8
0.0195651,4
0.0198511,2
0.020137,7
0.020423,4
0.020709,3
0.0209949,2
0.0212809,2
0.0215669,1
0.0218528,2
0.0221388,3
0.0224248,1
0.0227107,3
0.0229967,3
0.0232827,1
0.0235687,4
0.0238546,3
0.0241406,0
0.0244266,0
0.0247125,5
0.0249985,1
0.0252845,2
0.0255704,2
0.0258564,0
0.0261424,2
0.0264283,0
0.0267143,1
0.0270003,4
0.0272863,0
0.0275722,3
0.0278582,2
0.0281442,3
0.0284301,4
0.0287161,0
0.0290021,3
0.029288,2
0.029574,1
0.02986,1
0.0301459,0
0.0304319,0
0.0307179,2
0.0310039,0
0.0312898,0
0.0315758,1
0.0318618,1
0.0321477,1
0.0324337,0
0.0327197,1
0.0330056,0
0.0332916,0
0.0335776,0
0.0338636,2
0.0341495,0
0.0344355,0
0.0347215,1
0.0350074,2
0.0352934,0
0.0355794,0
0.0358653,0
0.0361513,1
0.0364373,1
0.0367232,1
0.0370092,2
0.0372952,0
0.0375812,2
0.0378671,0
0.0381531,0
0.0384391,2
0.038725,1
0.039011,0
0.039297,0
0.0395829,0
0.0398689,1
0.0401549,1
0.0404408,2
0.0407268,0
0.0410128,1
0.0412988,3
0.0415847,2
0.0418707,0
0.0421567,2
0.0424426,0
0.0427286,0
0.0430146,0
0.0433005,1
0.0435865,0
0.0438725,1
0.0441584,0
0.0444444,0
0.0447304,1
0.0450164,0
0.0453023,0
0.0455883,0
0.0458743,0
0.0461602,0
0.0464462,0
0.0467322,0
0.0470181,0
0.0473041,0
0.0475901,0
0.047876,0
0.048162,0
0.048448,0
0.048734,0
0.0490199,0
0.0493059,0
0.0495919,0
0.0498778,0
0.0501638,0
0.0504498,0
0.0507357,0
0.0510217,0
0.0513077,0
0.0515936,0
0.0518796,0
0.0521656,0
0.0524516,0
0.0527375,0
0.0530235,0
0.0533095,1
0.0535954,0
0.0538814,0
0.0541674,0
0.0544533,0
0.0547393,0
0.0550253,0
0.0553112,0
0.0555972,0
0.0558832,1
0.0561692,0
0.0564551,0
0.0567411,0
0.0570271,0
0.057313,0
0.057599,0
0.057885,0
0.0581709,1
0.0584569,0
0.0587429,1
0.0590289,0
0.0593148,1
0.0596008,0
0.0598868,0
0.0601727,0
0.0604587,0
0.0607447,0
0.0610306,0
0.0613166,0
0.0616026,0
0.0618885,0
0.0621745,1
0.0624605,0
0.0627465,0
0.0630324,0
0.0633184,0
0.0636044,0
0.0638903,0
0.0641763,0
0.0644623,0
0.0647482,0
0.0650342,0
0.0653202,0
0.0656061,0
0.0658921,0
0.0661781,0
0.0664641,0
0.06675,0
0.067036,0
0.067322,0
0.0676079,0
0.0678939,0
0.0681799,0
0.0684658,0
0.0687518,0
0.0690378,1
0.0693237,0
0.0696097,0
0.0698957,0
0.0701817,0
0.0704676,0
0.0707536,0
0.0710396,0
0.0713255,0
0.0716115,0
0.0718975,0
0.0721834,0
