X: (),Y: (Hits)
-0.0033006,0
-0.00312182,0
-0.00294304,0
-0.00276426,0
-0.00258548,0
-0.0024067,0
-0.00222792,0
-0.00204914,0
-0.00187037,0
-0.00169159,0
-0.00151281,0
-0.00133403,0
-0.00115525,0
-0.000976468,0
-0.000797688,0
-0.000618909,0
-0.000440129,0
-0.00026135,0
-8.25705e-05,0
9.62089e-05,0
0.000274988,0
0.000453768,0
0.000632547,0
0.000811327,0
0.000990106,0
0.00116889,1
0.00134767,4
0.00152644,5
0.00170522,5
0.001884,7
0.00206278,7
0.00224156,7
0.00242034,3
0.00259912,4
0.0027779,5
0.00295668,4
0.00313546,3
0.00331424,4
0.00349302,4
0.0036718,4
0.00385058,4
0.00402936,7
0.00420814,2
0.00438692,3
0.0045657,4
0.00474447,7
0.00492325,8
0.00510203,6
0.00528081,12
0.00545959,5
0.00563837,6
0.00581715,11
0.00599593,5
0.00617471,4
0.00635349,6
0.00653227,8
0.00671105,6
0.00688983,2
0.00706861,9
0.00724739,6
0.00742617,6
0.00760495,6
0.00778373,7
0.00796251,11
0.00814128,5
0.00832006,6
0.00849884,5
0.00867762,9
0.0088564,8
0.00903518,5
0.00921396,9
0.00939274,12
0.00957152,12
0.0097503,9
0.00992908,7
0.0101079,6
0.0102866,11
0.0104654,10
0.0106442,7
0.010823,6
0.0110018,9
0.0111805,8
0.0113593,8
0.0115381,5
0.0117169,6
0.0118957,4
0.0120744,5
0.0122532,11
0.012432,7
0.0126108,9
0.0127896,9
0.0129683,3
0.0131471,4
0.0133259,4
0.0135047,4
0.0136834,4
0.0138622,3
0.014041,4
0.0142198,4
0.0143986,3
0.0145773,1
0.0147561,5
0.0149349,10
0.0151137,3
0.0152925,6
0.0154712,7
0.01565,3
0.0158288,4
0.0160076,2
0.0161864,1
0.0163651,3
0.0165439,2
0.0167227,6
0.0169015,3
0.0170803,3
0.017259,11
0.0174378,6
0.0176166,3
0.0177954,2
0.0179742,4
0.0181529,3
0.0183317,1
0.0185105,2
0.0186893,3
0.0188681,1
0.0190468,6
0.0192256,1
0.0194044,2
0.0195832,2
0.0197619,3
0.0199407,3
0.0201195,2
0.0202983,1
0.0204771,1
0.0206558,2
0.0208346,1
0.0210134,0
0.0211922,0
0.021371,1
0.0215497,1
0.0217285,0
0.0219073,1
0.0220861,0
0.0222649,0
0.0224436,1
0.0226224,0
0.0228012,2
0.02298,1
0.0231588,0
0.0233375,1
0.0235163,0
0.0236951,0
0.0238739,0
0.0240527,1
0.0242314,1
0.0244102,2
0.024589,2
0.0247678,2
0.0249466,2
0.0251253,1
0.0253041,1
0.0254829,1
0.0256617,0
0.0258405,0
0.0260192,1
0.026198,0
0.0263768,1
0.0265556,0
0.0267343,0
0.0269131,0
0.0270919,1
0.0272707,1
0.0274495,0
0.0276282,0
0.027807,0
0.0279858,0
0.0281646,1
0.0283434,1
0.0285221,0
0.0287009,0
0.0288797,2
0.0290585,0
0.0292373,0
0.029416,0
0.0295948,1
0.0297736,1
0.0299524,0
0.0301312,0
0.0303099,1
0.0304887,0
0.0306675,0
0.0308463,0
0.0310251,0
0.0312038,0
0.0313826,0
0.0315614,0
0.0317402,0
0.031919,0
0.0320977,0
0.0322765,0
0.0324553,1
0.0326341,0
0.0328128,0
0.0329916,0
0.0331704,0
0.0333492,0
0.033528,0
0.0337067,0
0.0338855,0
0.0340643,0
0.0342431,0
0.0344219,0
0.0346006,2
0.0347794,0
0.0349582,0
0.035137,0
0.0353158,0
0.0354945,0
0.0356733,0
0.0358521,0
0.0360309,0
0.0362097,0
0.0363884,0
0.0365672,0
0.036746,1
0.0369248,1
0.0371036,0
0.0372823,0
0.0374611,0
0.0376399,0
0.0378187,0
0.0379975,0
0.0381762,0
0.038355,0
0.0385338,0
0.0387126,0
0.0388914,0
0.0390701,0
0.0392489,0
0.0394277,0
0.0396065,0
0.0397852,0
0.039964,0
0.0401428,0
0.0403216,0
0.0405004,0
0.0406791,0
0.0408579,0
0.0410367,0
0.0412155,0
