X: (),Y: (Hits)
-0.00188344,0
-0.00160334,0
-0.00132325,0
-0.00104316,0
-0.000763071,0
-0.00048298,0
-0.000202888,0
7.72028e-05,0
0.000357294,0
0.000637385,0
0.000917477,0
0.00119757,7
0.00147766,18
0.00175775,22
0.00203784,27
0.00231793,21
0.00259802,21
0.00287812,23
0.00315821,21
0.0034383,18
0.00371839,14
0.00399848,21
0.00427857,22
0.00455866,20
0.00483875,15
0.00511885,12
0.00539894,18
0.00567903,10
0.00595912,13
0.00623921,3
0.0065193,7
0.00679939,3
0.00707948,7
0.00735958,14
0.00763967,8
0.00791976,5
0.00819985,13
0.00847994,5
0.00876003,8
0.00904012,9
0.00932021,4
0.00960031,4
0.0098804,8
0.0101605,4
0.0104406,7
0.0107207,6
0.0110008,8
0.0112809,7
0.0115609,6
0.011841,4
0.0121211,2
0.0124012,3
0.0126813,0
0.0129614,3
0.0132415,8
0.0135216,5
0.0138017,7
0.0140818,0
0.0143619,2
0.0146419,4
0.014922,1
0.0152021,4
0.0154822,7
0.0157623,4
0.0160424,5
0.0163225,3
0.0166026,3
0.0168827,1
0.0171628,2
0.0174429,1
0.017723,1
0.018003,0
0.0182831,2
0.0185632,4
0.0188433,1
0.0191234,3
0.0194035,0
0.0196836,2
0.0199637,1
0.0202438,1
0.0205239,3
0.020804,1
0.021084,0
0.0213641,1
0.0216442,1
0.0219243,2
0.0222044,1
0.0224845,2
0.0227646,2
0.0230447,2
0.0233248,0
0.0236049,0
0.023885,1
0.0241651,0
0.0244451,0
0.0247252,1
0.0250053,1
0.0252854,0
0.0255655,0
0.0258456,1
0.0261257,0
0.0264058,0
0.0266859,0
0.026966,1
0.0272461,0
0.0275261,2
0.0278062,0
0.0280863,0
0.0283664,0
0.0286465,1
0.0289266,1
0.0292067,1
0.0294868,0
0.0297669,0
0.030047,0
0.0303271,1
0.0306071,0
0.0308872,0
0.0311673,1
0.0314474,0
0.0317275,0
0.0320076,0
0.0322877,0
0.0325678,0
0.0328479,0
0.033128,0
0.0334081,0
0.0336882,0
0.0339682,1
0.0342483,0
0.0345284,0
0.0348085,1
0.0350886,1
0.0353687,1
0.0356488,0
0.0359289,0
0.036209,0
0.0364891,0
0.0367692,0
0.0370492,1
0.0373293,0
0.0376094,0
0.0378895,0
0.0381696,1
0.0384497,0
0.0387298,0
0.0390099,0
0.03929,0
0.0395701,0
0.0398502,0
0.0401303,0
0.0404103,0
0.0406904,0
0.0409705,0
0.0412506,0
0.0415307,0
0.0418108,0
0.0420909,0
0.042371,1
0.0426511,0
0.0429312,0
0.0432113,1
0.0434913,1
0.0437714,0
0.0440515,0
0.0443316,0
0.0446117,0
0.0448918,0
0.0451719,0
0.045452,2
0.0457321,0
0.0460122,0
0.0462923,0
0.0465724,0
0.0468524,1
0.0471325,0
0.0474126,0
0.0476927,0
0.0479728,0
0.0482529,0
0.048533,0
0.0488131,0
0.0490932,1
0.0493733,0
0.0496534,0
0.0499334,0
0.0502135,0
0.0504936,0
0.0507737,0
0.0510538,0
0.0513339,0
0.051614,0
0.0518941,0
0.0521742,0
0.0524543,0
0.0527344,1
0.0530145,0
0.0532945,0
0.0535746,0
0.0538547,0
0.0541348,0
0.0544149,0
0.054695,0
0.0549751,0
0.0552552,0
0.0555353,0
0.0558154,0
0.0560955,0
0.0563755,0
0.0566556,0
0.0569357,0
0.0572158,0
0.0574959,0
0.057776,0
0.0580561,0
0.0583362,0
0.0586163,0
0.0588964,0
0.0591765,0
0.0594565,0
0.0597366,0
0.0600167,0
0.0602968,0
0.0605769,0
0.060857,0
0.0611371,1
0.0614172,0
0.0616973,0
0.0619774,0
0.0622575,0
0.0625376,0
0.0628176,0
0.0630977,0
0.0633778,0
0.0636579,0
0.063938,0
0.0642181,0
0.0644982,0
0.0647783,0
0.0650584,0
0.0653385,1
0.0656186,0
0.0658986,0
0.0661787,0
0.0664588,0
0.0667389,0
0.067019,0
0.0672991,0
0.0675792,0
0.0678593,0
