X: (),Y: (Hits)
-0.00583627,0
-0.0055186,0
-0.00520093,0
-0.00488326,0
-0.00456558,0
-0.00424791,0
-0.00393024,0
-0.00361257,0
-0.0032949,0
-0.00297722,0
-0.00265955,0
-0.00234188,0
-0.00202421,0
-0.00170654,0
-0.00138886,0
-0.00107119,0
-0.00075352,0
-0.000435848,0
-0.000118176,0
0.000199496,0
0.000517168,0
0.00083484,0
0.00115251,1
0.00147018,10
0.00178786,11
0.00210553,21
0.0024232,36
0.00274087,33
0.00305854,34
0.00337622,31
0.00369389,37
0.00401156,27
0.00432923,23
0.0046469,35
0.00496458,29
0.00528225,43
0.00559992,34
0.00591759,40
0.00623526,31
0.00655294,28
0.00687061,28
0.00718828,21
0.00750595,24
0.00782362,35
0.00814129,33
0.00845897,16
0.00877664,22
0.00909431,27
0.00941198,21
0.00972965,25
0.0100473,26
0.010365,30
0.0106827,26
0.0110003,22
0.011318,23
0.0116357,20
0.0119534,28
0.012271,25
0.0125887,24
0.0129064,12
0.013224,18
0.0135417,19
0.0138594,20
0.0141771,25
0.0144947,15
0.0148124,18
0.0151301,11
0.0154477,19
0.0157654,10
0.0160831,18
0.0164008,14
0.0167184,16
0.0170361,12
0.0173538,15
0.0176715,13
0.0179891,11
0.0183068,16
0.0186245,8
0.0189421,7
0.0192598,9
0.0195775,12
0.0198952,9
0.0202128,9
0.0205305,13
0.0208482,13
0.0211658,12
0.0214835,6
0.0218012,5
0.0221189,6
0.0224365,6
0.0227542,7
0.0230719,8
0.0233895,6
0.0237072,9
0.0240249,7
0.0243426,7
0.0246602,7
0.0249779,3
0.0252956,6
0.0256133,1
0.0259309,5
0.0262486,5
0.0265663,5
0.0268839,6
0.0272016,1
0.0275193,9
0.027837,3
0.0281546,5
0.0284723,1
0.02879,3
0.0291076,3
0.0294253,7
0.029743,3
0.0300607,4
0.0303783,2
0.030696,4
0.0310137,2
0.0313313,1
0.031649,3
0.0319667,2
0.0322844,1
0.032602,1
0.0329197,2
0.0332374,0
0.0335551,0
0.0338727,2
0.0341904,7
0.0345081,4
0.0348257,1
0.0351434,2
0.0354611,2
0.0357788,4
0.0360964,0
0.0364141,1
0.0367318,0
0.0370494,0
0.0373671,1
0.0376848,1
0.0380025,2
0.0383201,0
0.0386378,2
0.0389555,1
0.0392731,0
0.0395908,0
0.0399085,0
0.0402262,0
0.0405438,2
0.0408615,1
0.0411792,0
0.0414969,0
0.0418145,1
0.0421322,0
0.0424499,1
0.0427675,1
0.0430852,0
0.0434029,0
0.0437206,1
0.0440382,0
0.0443559,0
0.0446736,1
0.0449912,0
0.0453089,0
0.0456266,1
0.0459443,1
0.0462619,0
0.0465796,1
0.0468973,0
0.0472149,0
0.0475326,1
0.0478503,1
0.048168,1
0.0484856,0
0.0488033,0
0.049121,0
0.0494386,0
0.0497563,0
0.050074,0
0.0503917,0
0.0507093,0
0.051027,1
0.0513447,1
0.0516624,2
0.05198,0
0.0522977,0
0.0526154,0
0.052933,0
0.0532507,1
0.0535684,0
0.0538861,0
0.0542037,0
0.0545214,0
0.0548391,0
0.0551567,0
0.0554744,0
0.0557921,0
0.0561098,0
0.0564274,1
0.0567451,0
0.0570628,0
0.0573804,0
0.0576981,0
0.0580158,0
0.0583335,0
0.0586511,0
0.0589688,0
0.0592865,0
0.0596042,0
0.0599218,0
0.0602395,0
0.0605572,1
0.0608748,0
0.0611925,0
0.0615102,0
0.0618279,0
0.0621455,0
0.0624632,0
0.0627809,0
0.0630985,0
0.0634162,0
0.0637339,0
0.0640516,0
0.0643692,0
0.0646869,0
0.0650046,0
0.0653222,0
0.0656399,1
0.0659576,0
0.0662753,0
0.0665929,0
0.0669106,0
0.0672283,0
0.067546,0
0.0678636,0
0.0681813,0
0.068499,0
0.0688166,0
0.0691343,0
0.069452,0
0.0697697,0
0.0700873,0
0.070405,0
0.0707227,0
0.0710403,0
0.071358,0
0.0716757,0
0.0719934,0
0.072311,0
0.0726287,0
0.0729464,0
0.073264,0
