X: (),Y: (Hits)
0.00761466,0
0.00768884,0
0.00776303,0
0.00783721,0
0.00791139,0
0.00798557,0
0.00805975,0
0.00813394,0
0.00820812,1
0.0082823,0
0.00835648,1
0.00843066,0
0.00850484,0
0.00857903,2
0.00865321,0
0.00872739,0
0.00880157,0
0.00887575,0
0.00894994,0
0.00902412,5
0.0090983,0
0.00917248,2
0.00924666,6
0.00932085,17
0.00939503,29
0.00946921,45
0.00954339,39
0.00961757,45
0.00969175,55
0.00976594,39
0.00984012,36
0.0099143,35
0.00998848,25
0.0100627,32
0.0101368,18
0.010211,16
0.0102852,19
0.0103594,17
0.0104336,11
0.0105078,12
0.0105819,12
0.0106561,10
0.0107303,12
0.0108045,3
0.0108787,11
0.0109528,3
0.011027,5
0.0111012,8
0.0111754,1
0.0112496,2
0.0113238,0
0.0113979,2
0.0114721,1
0.0115463,4
0.0116205,2
0.0116947,2
0.0117688,4
0.011843,1
0.0119172,1
0.0119914,1
0.0120656,1
0.0121398,1
0.0122139,4
0.0122881,1
0.0123623,4
0.0124365,0
0.0125107,1
0.0125848,1
0.012659,0
0.0127332,1
0.0128074,1
0.0128816,0
0.0129558,3
0.0130299,0
0.0131041,2
0.0131783,0
0.0132525,3
0.0133267,4
0.0134008,1
0.013475,1
0.0135492,1
0.0136234,1
0.0136976,2
0.0137718,0
0.0138459,1
0.0139201,0
0.0139943,1
0.0140685,3
0.0141427,0
0.0142168,1
0.014291,0
0.0143652,1
0.0144394,1
0.0145136,2
0.0145878,0
0.0146619,0
0.0147361,1
0.0148103,1
0.0148845,1
0.0149587,0
0.0150329,0
0.015107,0
0.0151812,0
0.0152554,0
0.0153296,0
0.0154038,1
0.0154779,3
0.0155521,1
0.0156263,0
0.0157005,0
0.0157747,1
0.0158489,0
0.015923,2
0.0159972,4
0.0160714,4
0.0161456,1
0.0162198,3
0.0162939,1
0.0163681,0
0.0164423,1
0.0165165,1
0.0165907,1
0.0166649,0
0.016739,0
0.0168132,2
0.0168874,0
0.0169616,1
0.0170358,0
0.0171099,0
0.0171841,2
0.0172583,0
0.0173325,0
0.0174067,0
0.0174809,2
0.017555,0
0.0176292,0
0.0177034,1
0.0177776,1
0.0178518,2
0.0179259,0
0.0180001,1
0.0180743,0
0.0181485,0
0.0182227,0
0.0182969,0
0.018371,0
0.0184452,0
0.0185194,0
0.0185936,1
0.0186678,0
0.0187419,1
0.0188161,0
0.0188903,0
0.0189645,0
0.0190387,0
0.0191129,0
0.019187,0
0.0192612,1
0.0193354,0
0.0194096,0
0.0194838,0
0.0195579,1
0.0196321,0
0.0197063,0
0.0197805,0
0.0198547,0
0.0199289,0
0.020003,0
0.0200772,0
0.0201514,1
0.0202256,0
0.0202998,0
0.0203739,0
0.0204481,0
0.0205223,1
0.0205965,1
0.0206707,1
0.0207449,0
0.020819,0
0.0208932,0
0.0209674,0
0.0210416,0
0.0211158,0
0.0211899,0
0.0212641,1
0.0213383,0
0.0214125,1
0.0214867,0
0.0215609,0
0.021635,0
0.0217092,0
0.0217834,0
0.0218576,0
0.0219318,1
0.0220059,0
0.0220801,0
0.0221543,0
0.0222285,0
0.0223027,0
0.0223769,0
0.022451,0
0.0225252,0
0.0225994,0
0.0226736,0
0.0227478,0
0.0228219,0
0.0228961,0
0.0229703,0
0.0230445,0
0.0231187,0
0.0231929,0
0.023267,0
0.0233412,0
0.0234154,0
0.0234896,0
0.0235638,0
0.0236379,0
0.0237121,0
0.0237863,0
0.0238605,0
0.0239347,0
0.0240089,0
0.024083,0
0.0241572,0
0.0242314,0
0.0243056,0
0.0243798,0
0.0244539,0
0.0245281,0
0.0246023,0
0.0246765,0
0.0247507,0
0.0248249,0
0.024899,0
0.0249732,0
0.0250474,0
0.0251216,0
0.0251958,0
0.0252699,0
0.0253441,0
0.0254183,1
0.0254925,0
0.0255667,0
0.0256409,0
0.025715,0
0.0257892,0
0.0258634,0
0.0259376,0
0.0260118,0
0.0260859,0
