X: (),Y: (Hits)
0.000289351,0
0.000617694,0
0.000946037,0
0.00127438,8
0.00160272,5
0.00193106,14
0.00225941,14
0.00258775,18
0.00291609,8
0.00324444,5
0.00357278,17
0.00390112,7
0.00422946,6
0.00455781,10
0.00488615,4
0.00521449,9
0.00554283,6
0.00587118,17
0.00619952,10
0.00652786,13
0.00685621,13
0.00718455,5
0.00751289,8
0.00784123,6
0.00816958,12
0.00849792,12
0.00882626,7
0.0091546,10
0.00948295,11
0.00981129,13
0.0101396,7
0.010468,10
0.0107963,11
0.0111247,12
0.011453,11
0.0117813,6
0.0121097,13
0.012438,8
0.0127664,9
0.0130947,7
0.0134231,8
0.0137514,6
0.0140797,11
0.0144081,11
0.0147364,9
0.0150648,7
0.0153931,13
0.0157215,4
0.0160498,9
0.0163781,12
0.0167065,4
0.0170348,12
0.0173632,9
0.0176915,7
0.0180199,8
0.0183482,3
0.0186765,8
0.0190049,6
0.0193332,10
0.0196616,7
0.0199899,4
0.0203183,5
0.0206466,5
0.0209749,7
0.0213033,8
0.0216316,6
0.02196,3
0.0222883,3
0.0226167,6
0.022945,10
0.0232733,8
0.0236017,2
0.02393,3
0.0242584,6
0.0245867,6
0.0249151,2
0.0252434,1
0.0255717,4
0.0259001,3
0.0262284,1
0.0265568,5
0.0268851,5
0.0272135,2
0.0275418,0
0.0278701,2
0.0281985,5
0.0285268,1
0.0288552,3
0.0291835,3
0.0295119,5
0.0298402,3
0.0301685,1
0.0304969,0
0.0308252,5
0.0311536,0
0.0314819,2
0.0318103,4
0.0321386,2
0.0324669,2
0.0327953,1
0.0331236,1
0.033452,2
0.0337803,2
0.0341087,0
0.034437,1
0.0347653,0
0.0350937,2
0.035422,1
0.0357504,1
0.0360787,2
0.0364071,0
0.0367354,1
0.0370637,2
0.0373921,1
0.0377204,3
0.0380488,0
0.0383771,4
0.0387055,2
0.0390338,0
0.0393621,2
0.0396905,0
0.0400188,2
0.0403472,1
0.0406755,0
0.0410038,0
0.0413322,1
0.0416605,0
0.0419889,2
0.0423172,0
0.0426456,0
0.0429739,2
0.0433022,0
0.0436306,0
0.0439589,3
0.0442873,0
0.0446156,2
0.044944,0
0.0452723,1
0.0456006,0
0.045929,0
0.0462573,0
0.0465857,0
0.046914,0
0.0472424,0
0.0475707,1
0.047899,0
0.0482274,1
0.0485557,0
0.0488841,0
0.0492124,0
0.0495408,0
0.0498691,0
0.0501974,0
0.0505258,0
0.0508541,1
0.0511825,0
0.0515108,0
0.0518392,0
0.0521675,0
0.0524958,0
0.0528242,0
0.0531525,0
0.0534809,0
0.0538092,0
0.0541376,0
0.0544659,0
0.0547942,0
0.0551226,0
0.0554509,0
0.0557793,0
0.0561076,1
0.056436,0
0.0567643,0
0.0570926,0
0.057421,0
0.0577493,0
0.0580777,0
0.058406,0
0.0587344,1
0.0590627,0
0.059391,0
0.0597194,0
0.0600477,0
0.0603761,0
0.0607044,0
0.0610328,1
0.0613611,0
0.0616894,0
0.0620178,0
0.0623461,0
0.0626745,0
0.0630028,0
0.0633312,0
0.0636595,0
0.0639878,0
0.0643162,0
0.0646445,0
0.0649729,0
0.0653012,0
0.0656296,0
0.0659579,0
0.0662862,0
0.0666146,0
0.0669429,0
0.0672713,0
0.0675996,0
0.067928,0
0.0682563,0
0.0685846,0
0.068913,0
0.0692413,0
0.0695697,0
0.069898,0
0.0702264,0
0.0705547,0
0.070883,0
0.0712114,0
0.0715397,0
0.0718681,0
0.0721964,0
0.0725248,0
0.0728531,0
0.0731814,0
0.0735098,0
0.0738381,0
0.0741665,0
0.0744948,0
0.0748232,0
0.0751515,0
0.0754798,0
0.0758082,0
0.0761365,0
0.0764649,0
0.0767932,0
0.0771215,0
0.0774499,0
0.0777782,1
0.0781066,0
0.0784349,0
0.0787633,0
0.0790916,0
0.0794199,0
0.0797483,0
0.0800766,0
0.080405,0
0.0807333,0
0.0810617,0
0.08139,0
0.0817183,0
0.0820467,0
