Model,MSO44
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH2,,Channel,MATH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,353.02062500,,Zero Index,353.02062500,,Zero Index,353.02062500,,Zero Index,353.02062500,,Zero Index,353.02062500,,Zero Index,353.02062500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH2,,TIME,MATH3
-2.82416500e-06,-2.52031250e-03,6.45781250e-03,8.07812500e-03,5.85937500e-03,,-2.82416500e-06,-1.09445117e-02,,-2.82416500e-06,nan
-2.81616500e-06,-2.67343750e-03,6.61406250e-03,7.66875000e-03,5.15625000e-03,,-2.81616500e-06,-1.10976370e-02,,-2.81616500e-06,nan
-2.80816500e-06,-2.45937500e-03,6.75781250e-03,7.28750000e-03,1.25000000e-03,,-2.80816500e-06,-1.08835744e-02,,-2.80816500e-06,nan
-2.80016500e-06,-2.13437500e-03,6.41093750e-03,7.35312500e-03,5.07812500e-03,,-2.80016500e-06,-1.05585745e-02,,-2.80016500e-06,nan
-2.79216500e-06,-2.14062500e-03,5.86718750e-03,7.23125000e-03,1.48437500e-03,,-2.79216500e-06,-1.05648246e-02,,-2.79216500e-06,nan
-2.78416500e-06,-2.37656250e-03,5.98125000e-03,8.12500000e-03,3.75000000e-03,,-2.78416500e-06,-1.08007621e-02,,-2.78416500e-06,nan
-2.77616500e-06,-2.47968750e-03,7.21250000e-03,8.50937500e-03,3.12500000e-03,,-2.77616500e-06,-1.09038865e-02,,-2.77616500e-06,nan
-2.76816500e-06,-2.77500000e-03,8.78906250e-03,8.12812500e-03,7.81250000e-05,,-2.76816500e-06,-1.11991996e-02,,-2.76816500e-06,nan
-2.76016500e-06,-2.91250000e-03,9.95781250e-03,7.88437500e-03,7.65625000e-03,,-2.76016500e-06,-1.13366991e-02,,-2.76016500e-06,nan
-2.75216500e-06,-2.72031250e-03,1.12968750e-02,7.90000000e-03,4.45312500e-03,,-2.75216500e-06,-1.11445114e-02,,-2.75216500e-06,nan
-2.74416500e-06,-2.09687500e-03,1.27593750e-02,8.36250000e-03,8.51562500e-03,,-2.74416500e-06,-1.05210738e-02,,-2.74416500e-06,nan
-2.73616500e-06,-1.50937500e-03,1.39312500e-02,9.07500000e-03,4.37500000e-03,,-2.73616500e-06,-9.93357413e-03,,-2.73616500e-06,nan
-2.72816500e-06,-1.19062500e-03,1.44140625e-02,1.03718750e-02,1.00000000e-02,,-2.72816500e-06,-9.61482432e-03,,-2.72816500e-06,nan
-2.72016500e-06,-1.41250000e-03,1.42234375e-02,1.13250000e-02,9.45312500e-03,,-2.72016500e-06,-9.83669888e-03,,-2.72016500e-06,nan
-2.71216500e-06,-1.44687500e-03,1.37000000e-02,1.22406250e-02,8.90625000e-03,,-2.71216500e-06,-9.87107400e-03,,-2.71216500e-06,nan
