Model,MSO44
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH2,,Channel,MATH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,353.12062500,,Zero Index,353.12062500,,Zero Index,353.12062500,,Zero Index,353.12062500,,Zero Index,353.12062500,,Zero Index,353.12062500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH2,,TIME,MATH3
-2.82496500e-06,1.00000000e-03,1.02968750e-02,6.79062500e-03,7.96875000e-03,,-2.82496500e-06,-7.37840403e-03,,-2.82496500e-06,nan
-2.81696500e-06,1.00000000e-03,1.10953125e-02,6.92812500e-03,9.45312500e-03,,-2.81696500e-06,-7.37840403e-03,,-2.81696500e-06,nan
-2.80896500e-06,2.29687500e-03,9.96875000e-03,8.45937500e-03,1.14062500e-02,,-2.80896500e-06,-6.08152896e-03,,-2.80896500e-06,nan
-2.80096500e-06,4.07031250e-03,8.42031250e-03,9.26250000e-03,1.58593750e-02,,-2.80096500e-06,-4.30809148e-03,,-2.80096500e-06,nan
-2.79296500e-06,5.29687500e-03,9.52187500e-03,8.37812500e-03,8.12500000e-03,,-2.79296500e-06,-3.08152894e-03,,-2.79296500e-06,nan
-2.78496500e-06,3.85937500e-03,1.05828125e-02,7.21562500e-03,5.46875000e-03,,-2.78496500e-06,-4.51902905e-03,,-2.78496500e-06,nan
-2.77696500e-06,-8.51562500e-04,8.97187500e-03,7.07187500e-03,5.62500000e-03,,-2.77696500e-06,-9.22996644e-03,,-2.77696500e-06,nan
-2.76896500e-06,-2.46093750e-03,9.33906250e-03,8.42500000e-03,1.07812500e-02,,-2.76896500e-06,-1.08393412e-02,,-2.76896500e-06,nan
-2.76096500e-06,3.02343750e-03,1.39593750e-02,1.06468750e-02,5.93750000e-03,,-2.76096500e-06,-5.35496650e-03,,-2.76096500e-06,nan
-2.75296500e-06,8.46093750e-03,1.59593750e-02,1.05187500e-02,7.81250000e-03,,-2.75296500e-06,8.25335665e-05,,-2.75296500e-06,nan
-2.74496500e-06,5.05468750e-03,9.10000000e-03,7.39687500e-03,8.28125000e-03,,-2.74496500e-06,-3.32371634e-03,,-2.74496500e-06,nan
