Model,MSO44
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH2,,Channel,MATH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,353.80062500,,Zero Index,353.80062500,,Zero Index,353.80062500,,Zero Index,353.80062500,,Zero Index,353.80062500,,Zero Index,353.80062500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH2,,TIME,MATH3
-2.83040500e-06,1.78125000e-03,6.46562500e-03,9.08125000e-03,9.76562500e-03,,-2.83040500e-06,-4.23556753e-03,,-2.83040500e-06,nan
-2.82240500e-06,2.24218750e-03,5.92812500e-03,8.60312500e-03,5.46875000e-03,,-2.82240500e-06,-3.77462991e-03,,-2.82240500e-06,nan
-2.81440500e-06,-9.06250000e-04,4.72812500e-03,8.70000000e-03,1.01562500e-03,,-2.81440500e-06,-6.92306738e-03,,-2.81440500e-06,nan
-2.80640500e-06,-2.87500000e-03,5.55625000e-03,9.65312500e-03,6.95312500e-03,,-2.80640500e-06,-8.89181718e-03,,-2.80640500e-06,nan
-2.79840500e-06,1.48437500e-04,6.95312500e-03,1.17250000e-02,3.82812500e-03,,-2.79840500e-06,-5.86837996e-03,,-2.79840500e-06,nan
-2.79040500e-06,4.08593750e-03,6.75625000e-03,1.26062500e-02,2.34375000e-04,,-2.79040500e-06,-1.93087989e-03,,-2.79040500e-06,nan
-2.78240500e-06,-2.67968750e-03,2.15937500e-03,9.89375000e-03,-1.32812500e-03,,-2.78240500e-06,-8.69650487e-03,,-2.78240500e-06,nan
-2.77440500e-06,-1.26484375e-02,-1.43750000e-03,3.93437500e-03,2.81250000e-03,,-2.77440500e-06,-1.86652541e-02,,-2.77440500e-06,nan
-2.76640500e-06,-9.24218750e-03,3.03437500e-03,2.32500000e-03,2.10937500e-03,,-2.76640500e-06,-1.52590051e-02,,-2.76640500e-06,nan
-2.75840500e-06,2.76562500e-03,9.98437500e-03,8.26562500e-03,-7.03125000e-04,,-2.75840500e-06,-3.25119239e-03,,-2.75840500e-06,nan
-2.75040500e-06,2.34375000e-03,8.79062500e-03,1.21812500e-02,-1.48437500e-03,,-2.75040500e-06,-3.67306732e-03,,-2.75040500e-06,nan
-2.74240500e-06,-7.85937500e-03,2.66250000e-03,7.25312500e-03,-7.03125000e-04,,-2.74240500e-06,-1.38761923e-02,,-2.74240500e-06,nan
-2.73440500e-06,-8.60937500e-03,9.25000000e-04,2.34687500e-03,5.85937500e-03,,-2.73440500e-06,-1.46261919e-02,,-2.73440500e-06,nan
-2.72640500e-06,3.17187500e-03,5.44375000e-03,1.04375000e-03,3.67187500e-03,,-2.72640500e-06,-2.84494250e-03,,-2.72640500e-06,nan
-2.71840500e-06,9.42968750e-03,8.79687500e-03,3.13125000e-03,3.98437500e-03,,-2.71840500e-06,3.41287022e-03,,-2.71840500e-06,nan
-2.71040500e-06,-1.48437500e-03,4.11562500e-03,3.17187500e-03,6.64062500e-03,,-2.71040500e-06,-7.50119239e-03,,-2.71040500e-06,nan
-2.70240500e-06,-1.07578125e-02,-3.87500000e-04,1.26562500e-03,3.67187500e-03,,-2.70240500e-06,-1.67746302e-02,,-2.70240500e-06,nan
-2.69440500e-06,-5.53125000e-03,5.35625000e-03,4.12500000e-03,-3.90625000e-03,,-2.69440500e-06,-1.15480674e-02,,-2.69440500e-06,nan
-2.68640500e-06,2.07812500e-03,1.20000000e-02,8.81562500e-03,7.26562500e-03,,-2.68640500e-06,-3.93869262e-03,,-2.68640500e-06,nan
-2.67840500e-06,6.64062500e-04,1.03906250e-02,9.89062500e-03,7.10937500e-03,,-2.67840500e-06,-5.35275508e-03,,-2.67840500e-06,nan
-2.67040500e-06,-3.42968750e-03,2.94375000e-03,9.13750000e-03,4.37500000e-03,,-2.67040500e-06,-9.44650453e-03,,-2.67040500e-06,nan
-2.66240500e-06,-2.38281250e-03,7.59375000e-04,9.82500000e-03,1.48437500e-03,,-2.66240500e-06,-8.39962997e-03,,-2.66240500e-06,nan
-2.65440500e-06,-9.21875000e-04,5.13750000e-03,1.14937500e-02,-2.57812500e-03,,-2.65440500e-06,-6.93869218e-03,,-2.65440500e-06,nan
-2.64640500e-06,-5.10937500e-03,6.71875000e-03,1.03656250e-02,-3.12500000e-04,,-2.64640500e-06,-1.11261923e-02,,-2.64640500e-06,nan
-2.63840500e-06,-1.02578125e-02,4.72812500e-03,6.67500000e-03,-1.21093750e-02,,-2.63840500e-06,-1.62746292e-02,,-2.63840500e-06,nan
-2.63040500e-06,-9.00000000e-03,5.38750000e-03,4.53437500e-03,1.40625000e-03,,-2.63040500e-06,-1.50168175e-02,,-2.63040500e-06,nan
-2.62240500e-06,-2.53906250e-03,9.72187500e-03,6.47812500e-03,7.03125000e-04,,-2.62240500e-06,-8.55587982e-03,,-2.62240500e-06,nan
-2.61440500e-06,1.99218750e-03,1.06250000e-02,1.10968750e-02,6.64062500e-03,,-2.61440500e-06,-4.02462995e-03,,-2.61440500e-06,nan
-2.60640500e-06,7.96875000e-04,6.51250000e-03,1.77500000e-02,1.32812500e-03,,-2.60640500e-06,-5.21994242e-03,,-2.60640500e-06,nan
-2.59840500e-06,-1.82812500e-03,3.63125000e-03,1.86406250e-02,3.67187500e-03,,-2.59840500e-06,-7.84494262e-03,,-2.59840500e-06,nan
-2.59040500e-06,-4.46093750e-03,5.62187500e-03,1.21000000e-02,5.00000000e-03,,-2.59040500e-06,-1.04777552e-02,,-2.59040500e-06,nan
-2.58240500e-06,-4.17968750e-03,9.26875000e-03,3.54062500e-03,4.53125000e-03,,-2.58240500e-06,-1.01965051e-02,,-2.58240500e-06,nan
-2.57440500e-06,-1.91406250e-03,1.07625000e-02,2.25000000e-04,2.10937500e-03,,-2.57440500e-06,-7.93087948e-03,,-2.57440500e-06,nan
-2.56640500e-06,-1.01562500e-03,9.64062500e-03,8.96875000e-04,2.57812500e-03,,-2.56640500e-06,-7.03244237e-03,,-2.56640500e-06,nan
-2.55840500e-06,4.76562500e-04,9.63125000e-03,4.76875000e-03,6.09375000e-03,,-2.55840500e-06,-5.54025499e-03,,-2.55840500e-06,nan
-2.55040500e-06,3.24218750e-03,1.14625000e-02,8.99375000e-03,7.89062500e-03,,-2.55040500e-06,-2.77462997e-03,,-2.55040500e-06,nan
-2.54240500e-06,6.31250000e-03,1.35812500e-02,1.13750000e-02,8.20312500e-03,,-2.54240500e-06,2.95682607e-04,,-2.54240500e-06,nan
-2.53440500e-06,6.50781250e-03,1.41187500e-02,1.08406250e-02,8.59375000e-04,,-2.53440500e-06,4.90995124e-04,,-2.53440500e-06,nan
-2.52640500e-06,3.42968750e-03,1.36718750e-02,7.68750000e-03,2.34375000e-03,,-2.52640500e-06,-2.58712983e-03,,-2.52640500e-06,nan
-2.51840500e-06,1.34375000e-03,1.47437500e-02,4.35625000e-03,1.25000000e-02,,-2.51840500e-06,-4.67306748e-03,,-2.51840500e-06,nan
-2.51040500e-06,3.83593750e-03,1.60000000e-02,4.70000000e-03,9.68750000e-03,,-2.51040500e-06,-2.18087994e-03,,-2.51040500e-06,nan
-2.50240500e-06,7.26562500e-03,1.57593750e-02,7.17187500e-03,1.16406250e-02,,-2.50240500e-06,1.24880765e-03,,-2.50240500e-06,nan
-2.49440500e-06,8.23437500e-03,1.44437500e-02,9.61875000e-03,7.42187500e-03,,-2.49440500e-06,2.21755751e-03,,-2.49440500e-06,nan
-2.48640500e-06,6.27343750e-03,1.34906250e-02,1.11250000e-02,9.68750000e-03,,-2.48640500e-06,2.56620115e-04,,-2.48640500e-06,nan
-2.47840500e-06,6.96093750e-03,1.29500000e-02,1.14375000e-02,8.59375000e-03,,-2.47840500e-06,9.44120111e-04,,-2.47840500e-06,nan
-2.47040500e-06,7.00781250e-03,1.29187500e-02,9.90937500e-03,6.32812500e-03,,-2.47040500e-06,9.90995090e-04,,-2.47040500e-06,nan
-2.46240500e-06,4.10937500e-03,1.25812500e-02,7.24062500e-03,3.82812500e-03,,-2.46240500e-06,-1.90744235e-03,,-2.46240500e-06,nan
-2.45440500e-06,1.66406250e-03,1.28625000e-02,6.48750000e-03,7.57812500e-03,,-2.45440500e-06,-4.35275491e-03,,-2.45440500e-06,nan
-2.44640500e-06,3.57031250e-03,1.33468750e-02,7.89062500e-03,1.08593750e-02,,-2.44640500e-06,-2.44650478e-03,,-2.44640500e-06,nan
-2.43840500e-06,9.39062500e-03,1.43843750e-02,9.28437500e-03,9.53125000e-03,,-2.43840500e-06,3.37380753e-03,,-2.43840500e-06,nan
