Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.49612500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.69984500e-06,8.12343750e-03
-5.65984500e-06,-1.12187500e-03
-5.61984500e-06,-3.68593750e-03
-5.57984500e-06,-2.06562500e-03
-5.53984500e-06,-3.64687500e-03
-5.49984500e-06,-1.83750000e-03
-5.45984500e-06,-1.60156250e-03
-5.41984500e-06,2.50000000e-04
-5.37984500e-06,-4.10937500e-04
-5.33984500e-06,2.57500000e-03
-5.29984500e-06,4.26718750e-03
-5.25984500e-06,6.46093750e-03
-5.21984500e-06,-1.13593750e-03
-5.17984500e-06,-2.31718750e-03
-5.13984500e-06,-2.96875000e-03
-5.09984500e-06,-2.68281250e-03
-5.05984500e-06,-2.33437500e-03
-5.01984500e-06,-2.59062500e-03
-4.97984500e-06,-1.41250000e-03
-4.93984500e-06,-1.87031250e-03
-4.89984500e-06,-1.40625000e-03
-4.85984500e-06,-1.19531250e-03
-4.81984500e-06,4.08750000e-03
-4.77984500e-06,4.71250000e-03
-4.73984500e-06,6.48437500e-04
-4.69984500e-06,2.12968750e-03
-4.65984500e-06,3.52968750e-03
-4.61984500e-06,-1.25000000e-03
-4.57984500e-06,-3.49062500e-03
-4.53984500e-06,-3.10468750e-03
-4.49984500e-06,-1.57968750e-03
-4.45984500e-06,-2.18125000e-03
-4.41984500e-06,6.82812500e-04
-4.37984500e-06,2.92500000e-03
-4.33984500e-06,-1.63593750e-03
-4.29984500e-06,-3.60000000e-03
-4.25984500e-06,-2.18906250e-03
-4.21984500e-06,-3.95625000e-03
-4.17984500e-06,2.94218750e-03
-4.13984500e-06,3.32187500e-03
-4.09984500e-06,2.63750000e-03
-4.05984500e-06,6.26562500e-04
-4.01984500e-06,6.59375000e-03
-3.97984500e-06,1.11875000e-03
-3.93984500e-06,-3.10937500e-03
-3.89984500e-06,-4.05000000e-03
-3.85984500e-06,-4.57812500e-03
-3.81984500e-06,-3.24375000e-03
-3.77984500e-06,1.98125000e-03
-3.73984500e-06,1.11093750e-03
-3.69984500e-06,5.01562500e-04
-3.65984500e-06,-3.32031250e-03
-3.61984500e-06,-2.14062500e-03
-3.57984500e-06,1.39843750e-03
-3.53984500e-06,3.07187500e-03
-3.49984500e-06,1.17187500e-04
-3.45984500e-06,-3.84843750e-03
-3.41984500e-06,-2.04218750e-03
-3.37984500e-06,-2.85000000e-03
-3.33984500e-06,1.93593750e-03
-3.29984500e-06,1.87968750e-03
-3.25984500e-06,5.75000000e-03
-3.21984500e-06,2.45468750e-03
-3.17984500e-06,-3.31250000e-04
-3.13984500e-06,-1.15625000e-03
-3.09984500e-06,-4.18437500e-03
-3.05984500e-06,-6.43750000e-04
-3.01984500e-06,-1.27343750e-03
-2.97984500e-06,-2.58750000e-03
-2.93984500e-06,-5.46875000e-04
-2.89984500e-06,-6.95312500e-04
-2.85984500e-06,2.17187500e-03
-2.81984500e-06,1.24687500e-03
-2.77984500e-06,-3.27500000e-03
-2.73984500e-06,-2.57812500e-04
-2.69984500e-06,6.59375000e-04
-2.65984500e-06,-1.83437500e-03
-2.61984500e-06,3.64062500e-03
-2.57984500e-06,-3.37500000e-04
-2.53984500e-06,-1.03906250e-03
-2.49984500e-06,-2.05468750e-03
-2.45984500e-06,-1.96875000e-04
-2.41984500e-06,-1.36250000e-03
-2.37984500e-06,-2.42812500e-03
-2.33984500e-06,-1.17031250e-03
-2.29984500e-06,-9.87500000e-04
-2.25984500e-06,-8.17187500e-04
-2.21984500e-06,3.10156250e-03
-2.17984500e-06,-4.01562500e-04
-2.13984500e-06,1.76406250e-03
-2.09984500e-06,1.82812500e-03
-2.05984500e-06,4.97343750e-03
-2.01984500e-06,2.71562500e-03
-1.97984500e-06,1.61562500e-03
-1.93984500e-06,-3.20312500e-03
-1.89984500e-06,-2.23750000e-03
-1.85984500e-06,-1.50937500e-03
-1.81984500e-06,-7.01562500e-04
-1.77984500e-06,-2.22656250e-03
-1.73984500e-06,2.00625000e-03
-1.69984500e-06,8.73437500e-04
-1.65984500e-06,5.11562500e-03
-1.61984500e-06,3.35000000e-03
-1.57984500e-06,7.59531250e-03
-1.53984500e-06,-2.32812500e-04
-1.49984500e-06,-4.93125000e-03
-1.45984500e-06,-8.46093750e-03
-1.41984500e-06,-5.37500000e-03
-1.37984500e-06,-5.16875000e-03
-1.33984500e-06,-2.52656250e-03
-1.29984500e-06,-1.75312500e-03
-1.25984500e-06,7.34375000e-04
-1.21984500e-06,3.81875000e-03
-1.17984500e-06,5.67500000e-03
-1.13984500e-06,2.23437500e-03
-1.09984500e-06,-2.69218750e-03
-1.05984500e-06,-4.45937500e-03
-1.01984500e-06,-1.24531250e-03
-9.79845000e-07,-2.06718750e-03
-9.39845000e-07,1.40625000e-05
-8.99845000e-07,1.46250000e-03
-8.59845000e-07,-3.59375000e-04
-8.19845000e-07,1.35468750e-03
-7.79845000e-07,1.47656250e-03
-7.39845000e-07,3.70312500e-04
-6.99845000e-07,-1.81250000e-03
-6.59845000e-07,-1.71562500e-03
-6.19845000e-07,2.15781250e-03
-5.79845000e-07,-4.96875000e-04
-5.39845000e-07,2.61406250e-03
