Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.36412500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.69456500e-06,4.26562500e-04
-5.65456500e-06,2.81250000e-03
-5.61456500e-06,-1.01562500e-04
-5.57456500e-06,-3.12500000e-04
-5.53456500e-06,5.04687500e-04
-5.49456500e-06,3.73437500e-04
-5.45456500e-06,-1.12500000e-03
-5.41456500e-06,-1.62031250e-03
-5.37456500e-06,-1.08750000e-03
-5.33456500e-06,1.35625000e-03
-5.29456500e-06,-5.96875000e-04
-5.25456500e-06,3.29687500e-04
-5.21456500e-06,5.96875000e-04
-5.17456500e-06,-2.08593750e-03
-5.13456500e-06,1.35000000e-03
-5.09456500e-06,3.70312500e-04
-5.05456500e-06,-7.76562500e-04
-5.01456500e-06,2.65625000e-03
-4.97456500e-06,3.28125000e-04
-4.93456500e-06,3.20937500e-03
-4.89456500e-06,3.78125000e-03
-4.85456500e-06,-2.05781250e-03
-4.81456500e-06,-3.83906250e-03
-4.77456500e-06,1.02343750e-03
-4.73456500e-06,2.55937500e-03
-4.69456500e-06,-2.01562500e-03
-4.65456500e-06,-1.97031250e-03
-4.61456500e-06,-9.56250000e-04
-4.57456500e-06,-4.64062500e-04
-4.53456500e-06,1.92968750e-03
-4.49456500e-06,3.72656250e-03
-4.45456500e-06,-2.18125000e-03
-4.41456500e-06,1.93750000e-04
-4.37456500e-06,-1.51406250e-03
-4.33456500e-06,-9.34375000e-04
-4.29456500e-06,1.57812500e-04
-4.25456500e-06,8.57812500e-04
-4.21456500e-06,-5.92187500e-04
-4.17456500e-06,-3.59375000e-04
-4.13456500e-06,4.28125000e-04
-4.09456500e-06,1.66562500e-03
-4.05456500e-06,1.30781250e-03
-4.01456500e-06,-8.23437500e-04
-3.97456500e-06,-1.62500000e-03
-3.93456500e-06,2.92812500e-03
-3.89456500e-06,5.14843750e-03
-3.85456500e-06,4.22031250e-03
-3.81456500e-06,-3.93750000e-04
-3.77456500e-06,-3.17968750e-03
-3.73456500e-06,-3.03437500e-03
-3.69456500e-06,-1.11562500e-03
-3.65456500e-06,9.81250000e-04
-3.61456500e-06,-1.42187500e-04
-3.57456500e-06,-7.68750000e-04
-3.53456500e-06,-1.09375000e-04
-3.49456500e-06,2.89062500e-03
-3.45456500e-06,1.75156250e-03
-3.41456500e-06,-3.56875000e-03
-3.37456500e-06,-1.45000000e-03
-3.33456500e-06,-7.59375000e-04
-3.29456500e-06,7.00000000e-04
-3.25456500e-06,-1.27968750e-03
-3.21456500e-06,-2.24687500e-03
-3.17456500e-06,-2.34375000e-05
-3.13456500e-06,2.10625000e-03
-3.09456500e-06,1.22968750e-03
-3.05456500e-06,-1.08437500e-03
-3.01456500e-06,-1.28437500e-03
-2.97456500e-06,-1.44375000e-03
-2.93456500e-06,-1.02343750e-03
-2.89456500e-06,-5.82812500e-04
-2.85456500e-06,-4.32812500e-04
-2.81456500e-06,4.65625000e-04
-2.77456500e-06,2.17031250e-03
-2.73456500e-06,4.40312500e-03
-2.69456500e-06,2.77968750e-03
-2.65456500e-06,-1.07500000e-03
-2.61456500e-06,-2.85000000e-03
-2.57456500e-06,7.81250000e-06
-2.53456500e-06,-8.81250000e-04
-2.49456500e-06,1.09062500e-03
-2.45456500e-06,2.50156250e-03
-2.41456500e-06,2.89531250e-03
-2.37456500e-06,-1.20625000e-03
-2.33456500e-06,6.25000000e-06
-2.29456500e-06,-1.11875000e-03
-2.25456500e-06,-1.62500000e-03
-2.21456500e-06,-1.57656250e-03
-2.17456500e-06,-1.04687500e-04
-2.13456500e-06,4.74687500e-03
-2.09456500e-06,3.62343750e-03
-2.05456500e-06,6.68750000e-04
-2.01456500e-06,-5.23437500e-04
-1.97456500e-06,-9.21875000e-04
-1.93456500e-06,-1.28593750e-03
-1.89456500e-06,-1.40781250e-03
-1.85456500e-06,-3.51562500e-04
-1.81456500e-06,-2.52031250e-03
-1.77456500e-06,-1.91562500e-03
-1.73456500e-06,-1.02343750e-03
-1.69456500e-06,1.37968750e-03
-1.65456500e-06,2.19843750e-03
-1.61456500e-06,1.46562500e-03
-1.57456500e-06,-3.37500000e-04
-1.53456500e-06,2.98125000e-03
-1.49456500e-06,1.62500000e-04
-1.45456500e-06,-7.98437500e-04
-1.41456500e-06,-1.72031250e-03
-1.37456500e-06,-9.28125000e-04
-1.33456500e-06,-8.46875000e-04
-1.29456500e-06,7.70312500e-04
-1.25456500e-06,2.54531250e-03
-1.21456500e-06,1.26250000e-03
-1.17456500e-06,-2.48281250e-03
-1.13456500e-06,-4.06875000e-03
-1.09456500e-06,-7.03125000e-04
-1.05456500e-06,5.62500000e-05
-1.01456500e-06,-8.57812500e-04
-9.74565000e-07,-6.00000000e-04
-9.34565000e-07,-1.31093750e-03
-8.94565000e-07,6.28125000e-04
-8.54565000e-07,3.62812500e-03
-8.14565000e-07,2.36718750e-03
-7.74565000e-07,5.93750000e-04
-7.34565000e-07,8.57812500e-04
-6.94565000e-07,1.72187500e-03
-6.54565000e-07,2.92500000e-03
-6.14565000e-07,2.54843750e-03
-5.74565000e-07,-1.38593750e-03
-5.34565000e-07,-5.70312500e-04
-4.94565000e-07,-3.05000000e-03
