Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.11612500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.68464500e-06,-6.64062500e-04
-5.64464500e-06,-9.88281250e-04
-5.60464500e-06,6.90625000e-04
-5.56464500e-06,-2.42187500e-05
-5.52464500e-06,2.08203125e-03
-5.48464500e-06,2.10078125e-03
-5.44464500e-06,-2.93750000e-04
-5.40464500e-06,-2.12421875e-03
-5.36464500e-06,-7.29687500e-04
-5.32464500e-06,7.85937500e-04
-5.28464500e-06,-1.56250000e-03
-5.24464500e-06,-3.72656250e-04
-5.20464500e-06,1.01093750e-03
-5.16464500e-06,1.10625000e-03
-5.12464500e-06,1.27734375e-03
-5.08464500e-06,-8.41406250e-04
-5.04464500e-06,-3.38281250e-04
-5.00464500e-06,5.44531250e-04
-4.96464500e-06,-1.24296875e-03
-4.92464500e-06,-2.19687500e-03
-4.88464500e-06,-2.53671875e-03
-4.84464500e-06,-2.65625000e-05
-4.80464500e-06,1.16171875e-03
-4.76464500e-06,-1.01484375e-03
-4.72464500e-06,-4.32031250e-04
-4.68464500e-06,5.92968750e-04
-4.64464500e-06,-2.45312500e-04
-4.60464500e-06,3.80468750e-04
-4.56464500e-06,5.18750000e-04
-4.52464500e-06,7.30468750e-04
-4.48464500e-06,2.21250000e-03
-4.44464500e-06,2.00937500e-03
-4.40464500e-06,-1.76796875e-03
-4.36464500e-06,1.80234375e-03
-4.32464500e-06,2.35390625e-03
-4.28464500e-06,1.89843750e-04
-4.24464500e-06,-1.56328125e-03
-4.20464500e-06,-3.10390625e-03
-4.16464500e-06,-1.04687500e-04
-4.12464500e-06,4.23437500e-04
-4.08464500e-06,-4.93750000e-04
-4.04464500e-06,-1.36171875e-03
-4.00464500e-06,4.68750000e-05
-3.96464500e-06,9.42187500e-04
-3.92464500e-06,-8.63281250e-04
-3.88464500e-06,-1.83125000e-03
-3.84464500e-06,-1.78984375e-03
-3.80464500e-06,-9.42187500e-04
-3.76464500e-06,-4.64843750e-04
-3.72464500e-06,1.10156250e-04
-3.68464500e-06,1.95000000e-03
-3.64464500e-06,1.42734375e-03
-3.60464500e-06,5.42187500e-04
-3.56464500e-06,1.42109375e-03
-3.52464500e-06,1.27343750e-04
-3.48464500e-06,-2.88593750e-03
-3.44464500e-06,-1.42890625e-03
-3.40464500e-06,8.21875000e-04
-3.36464500e-06,4.12500000e-04
-3.32464500e-06,-3.55859375e-03
-3.28464500e-06,-5.61718750e-04
-3.24464500e-06,-2.06171875e-03
-3.20464500e-06,-1.60703125e-03
-3.16464500e-06,8.90625000e-05
-3.12464500e-06,1.42656250e-03
-3.08464500e-06,2.95312500e-04
-3.04464500e-06,2.93750000e-04
-3.00464500e-06,-7.06250000e-04
-2.96464500e-06,-2.74609375e-03
-2.92464500e-06,2.89062500e-04
-2.88464500e-06,8.60937500e-04
-2.84464500e-06,-1.63593750e-03
-2.80464500e-06,-4.43750000e-04
-2.76464500e-06,1.47812500e-03
-2.72464500e-06,1.94921875e-03
-2.68464500e-06,1.59609375e-03
-2.64464500e-06,1.13515625e-03
-2.60464500e-06,-6.40625000e-05
-2.56464500e-06,-2.32890625e-03
-2.52464500e-06,-2.11640625e-03
-2.48464500e-06,-5.55468750e-04
-2.44464500e-06,3.53125000e-04
-2.40464500e-06,-9.71875000e-04
-2.36464500e-06,5.26562500e-04
-2.32464500e-06,1.07812500e-04
-2.28464500e-06,8.39062500e-04
-2.24464500e-06,1.62734375e-03
-2.20464500e-06,7.27343750e-04
-2.16464500e-06,-9.09375000e-04
-2.12464500e-06,-2.85937500e-04
-2.08464500e-06,-1.32812500e-05
-2.04464500e-06,6.62500000e-04
-2.00464500e-06,3.92968750e-04
-1.96464500e-06,-1.21640625e-03
-1.92464500e-06,-9.82031250e-04
-1.88464500e-06,-3.31250000e-04
-1.84464500e-06,1.05937500e-03
-1.80464500e-06,-1.20078125e-03
-1.76464500e-06,3.57812500e-04
-1.72464500e-06,-2.68750000e-04
-1.68464500e-06,-1.10156250e-03
-1.64464500e-06,-2.63750000e-03
-1.60464500e-06,-1.34609375e-03
-1.56464500e-06,9.01562500e-04
-1.52464500e-06,2.03125000e-05
-1.48464500e-06,-2.10156250e-03
-1.44464500e-06,-1.00781250e-04
-1.40464500e-06,2.09375000e-04
-1.36464500e-06,-4.71093750e-04
-1.32464500e-06,2.73437500e-05
-1.28464500e-06,2.34062500e-03
-1.24464500e-06,1.84062500e-03
-1.20464500e-06,9.89843750e-04
-1.16464500e-06,-1.36093750e-03
-1.12464500e-06,-1.71406250e-03
-1.08464500e-06,-1.07109375e-03
-1.04464500e-06,2.12265625e-03
-1.00464500e-06,3.69140625e-03
-9.64645000e-07,2.24218750e-03
-9.24645000e-07,-4.85156250e-04
-8.84645000e-07,-1.37265625e-03
-8.44645000e-07,-1.09140625e-03
-8.04645000e-07,1.86484375e-03
-7.64645000e-07,-1.05078125e-03
-7.24645000e-07,-5.43750000e-04
-6.84645000e-07,3.60156250e-04
-6.44645000e-07,-6.17187500e-04
-6.04645000e-07,1.05703125e-03
-5.64645000e-07,7.57812500e-05
-5.24645000e-07,-1.30156250e-03
-4.84645000e-07,-1.92187500e-04
