Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,1000
Zero Index,142.77212500
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH4
-5.71088500e-06,3.42187500e-03
-5.67088500e-06,-6.39218750e-03
-5.63088500e-06,-4.22968750e-03
-5.59088500e-06,2.41718750e-03
-5.55088500e-06,-2.78125000e-03
-5.51088500e-06,-1.24218750e-03
-5.47088500e-06,4.78125000e-04
-5.43088500e-06,-1.37500000e-04
-5.39088500e-06,2.32812500e-04
-5.35088500e-06,9.73437500e-04
-5.31088500e-06,8.64062500e-04
-5.27088500e-06,2.13906250e-03
-5.23088500e-06,1.54687500e-03
-5.19088500e-06,2.05937500e-03
-5.15088500e-06,2.07500000e-03
-5.11088500e-06,-1.86250000e-03
-5.07088500e-06,-1.90468750e-03
-5.03088500e-06,-6.39062500e-04
-4.99088500e-06,-3.10468750e-03
-4.95088500e-06,2.93750000e-04
-4.91088500e-06,-3.31406250e-03
-4.87088500e-06,-3.53593750e-03
-4.83088500e-06,6.25000000e-04
-4.79088500e-06,-1.29375000e-03
-4.75088500e-06,-1.24062500e-03
-4.71088500e-06,1.02031250e-03
-4.67088500e-06,9.48437500e-04
-4.63088500e-06,-1.19531250e-03
-4.59088500e-06,4.10625000e-03
-4.55088500e-06,8.20312500e-04
-4.51088500e-06,3.10312500e-03
-4.47088500e-06,3.69687500e-03
-4.43088500e-06,-1.49687500e-03
-4.39088500e-06,1.68750000e-04
-4.35088500e-06,1.01875000e-03
-4.31088500e-06,-3.54218750e-03
-4.27088500e-06,-4.33281250e-03
-4.23088500e-06,1.17187500e-04
-4.19088500e-06,-6.82812500e-04
-4.15088500e-06,-1.02968750e-03
-4.11088500e-06,4.98437500e-04
-4.07088500e-06,-1.50625000e-03
-4.03088500e-06,-2.72968750e-03
-3.99088500e-06,-3.46875000e-04
-3.95088500e-06,8.60937500e-04
-3.91088500e-06,9.00000000e-04
-3.87088500e-06,4.24531250e-03
-3.83088500e-06,4.50156250e-03
-3.79088500e-06,2.57187500e-03
-3.75088500e-06,2.50156250e-03
-3.71088500e-06,1.78437500e-03
-3.67088500e-06,9.56250000e-04
-3.63088500e-06,-4.82812500e-04
-3.59088500e-06,2.18750000e-04
-3.55088500e-06,-3.55000000e-03
-3.51088500e-06,-2.18437500e-03
-3.47088500e-06,-2.77968750e-03
-3.43088500e-06,-2.15625000e-03
-3.39088500e-06,-3.12500000e-03
-3.35088500e-06,-3.01562500e-04
-3.31088500e-06,1.57500000e-03
-3.27088500e-06,1.04062500e-03
-3.23088500e-06,2.69375000e-03
-3.19088500e-06,6.87500000e-05
-3.15088500e-06,1.23125000e-03
-3.11088500e-06,1.79375000e-03
-3.07088500e-06,2.26562500e-03
-3.03088500e-06,7.82812500e-04
-2.99088500e-06,-1.35156250e-03
-2.95088500e-06,8.18750000e-04
-2.91088500e-06,-1.68593750e-03
-2.87088500e-06,-5.78125000e-05
-2.83088500e-06,9.35937500e-04
-2.79088500e-06,-9.25000000e-04
-2.75088500e-06,-2.75000000e-04
-2.71088500e-06,3.25468750e-03
-2.67088500e-06,1.36562500e-03
-2.63088500e-06,1.50937500e-03
-2.59088500e-06,-3.98437500e-04
-2.55088500e-06,-1.34531250e-03
-2.51088500e-06,-7.84375000e-04
-2.47088500e-06,7.29687500e-04
-2.43088500e-06,1.69687500e-03
-2.39088500e-06,3.41718750e-03
-2.35088500e-06,2.63750000e-03
-2.31088500e-06,-3.04687500e-04
-2.27088500e-06,-9.45312500e-04
-2.23088500e-06,-1.42343750e-03
-2.19088500e-06,3.12500000e-06
-2.15088500e-06,8.51562500e-04
-2.11088500e-06,-4.39062500e-04
-2.07088500e-06,-1.70625000e-03
-2.03088500e-06,-1.32031250e-03
-1.99088500e-06,7.43750000e-04
-1.95088500e-06,1.90468750e-03
-1.91088500e-06,2.10937500e-03
-1.87088500e-06,9.26562500e-04
-1.83088500e-06,-1.50156250e-03
-1.79088500e-06,7.15625000e-04
-1.75088500e-06,2.94687500e-03
-1.71088500e-06,2.34531250e-03
-1.67088500e-06,3.21250000e-03
-1.63088500e-06,1.39218750e-03
-1.59088500e-06,-1.43750000e-03
-1.55088500e-06,1.50000000e-04
-1.51088500e-06,-1.65625000e-04
-1.47088500e-06,6.87500000e-05
-1.43088500e-06,-5.18750000e-04
-1.39088500e-06,5.45312500e-04
-1.35088500e-06,8.03125000e-04
-1.31088500e-06,-1.80625000e-03
-1.27088500e-06,-3.61406250e-03
-1.23088500e-06,-6.12500000e-04
-1.19088500e-06,1.75000000e-04
-1.15088500e-06,2.55625000e-03
-1.11088500e-06,2.66406250e-03
-1.07088500e-06,-5.34375000e-04
-1.03088500e-06,-6.71875000e-05
-9.90885000e-07,-3.43750000e-04
-9.50885000e-07,2.71875000e-04
-9.10885000e-07,5.89062500e-04
-8.70885000e-07,1.72656250e-03
-8.30885000e-07,9.56250000e-04
-7.90885000e-07,-1.35468750e-03
-7.50885000e-07,-6.56250000e-05
-7.10885000e-07,1.01562500e-04
-6.70885000e-07,-5.43750000e-04
-6.30885000e-07,1.56250000e-05
-5.90885000e-07,1.09375000e-05
-5.50885000e-07,-4.39062500e-04
-5.10885000e-07,-3.06562500e-03
